,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.44,4.99,4.42,4.7,3.69,4.1,1.19,0.75,2.88,0.84,0.83,0.79,0.6,1.04,0.39,0.72
f_1,4.3,0.44,4.23,5.08,4.72,4.33,0.86,1.45,0.85,0.87,0.76,3.2,0.37,0.71,0.74,0.76
e_1,5.84,2.37,0.44,4.64,4.34,4.53,1.43,1.41,0.94,1.09,1.05,1.03,0.66,0.79,0.56,2.63
c_1,5.97,4.56,4.61,0.4,4.63,5.14,1.29,1.12,0.55,2.86,0.85,1.16,0.98,0.75,0.73,1.0
b_1,4.67,5.9,4.8,2.75,0.39,5.57,1.41,1.33,1.01,1.02,4.73,0.96,0.68,1.66,0.81,1.02
a_1,4.66,7.53,5.65,6.59,3.46,0.33,2.18,2.95,1.39,1.15,1.53,1.21,0.97,6.08,1.12,1.62
h_1,5.52,4.88,4.75,4.27,6.16,4.57,0.36,1.73,0.94,0.93,1.02,0.89,2.15,1.08,0.85,0.96
g_1,5.9,5.41,6.9,4.83,5.79,4.66,1.02,0.33,1.41,1.19,1.18,1.27,0.72,1.35,1.63,1.26
d_0,11.23,5.92,3.02,5.57,6.04,5.87,1.73,1.89,0.44,1.02,1.27,0.92,0.94,0.85,0.87,1.07
c_0,2.77,6.4,5.49,23.53,7.05,5.39,2.06,1.55,1.52,0.45,1.08,1.05,0.84,1.04,0.89,1.12
b_0,4.64,6.73,5.37,8.33,15.19,4.86,1.74,1.59,1.1,0.55,0.4,1.1,0.82,1.0,0.73,0.87
f_0,4.9,14.63,7.09,5.99,5.63,5.41,1.94,1.3,1.33,1.28,1.44,0.39,0.86,1.2,0.62,1.4
h_0,5.67,6.72,7.54,6.83,7.5,8.11,4.25,1.99,1.43,1.1,1.21,1.42,2.6,1.2,1.14,0.97
a_0,5.94,7.87,6.61,7.42,6.88,,1.86,2.52,1.75,1.2,0.88,1.04,0.98,0.38,1.19,1.85
g_0,7.22,6.73,8.25,9.41,7.06,6.89,1.78,,1.65,1.91,1.37,1.46,0.92,1.44,2.63,1.59
e_0,6.51,12.54,23.59,7.53,7.3,7.03,1.98,2.08,1.24,1.17,2.29,0.54,1.31,2.02,0.97,0.34
