,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.2,0.06,0.03,0.02,0.02,0.02,0.06,0.05,0.06,0.07,,0.06,0.07,0.04,0.04,0.05
e_1,0.03,2.22,0.03,0.03,0.03,0.01,0.05,0.05,0.13,0.07,0.06,0.05,0.08,0.04,,0.05
d_1,0.03,0.03,2.25,0.03,0.02,0.02,0.06,0.06,,0.11,0.08,0.05,0.08,0.05,0.06,0.07
c_1,0.03,0.03,0.03,2.41,0.05,0.02,0.05,0.05,0.06,,0.08,0.05,0.07,0.05,0.04,0.06
b_1,0.04,0.03,0.03,0.02,2.59,0.04,0.06,0.05,0.1,0.05,0.05,,0.09,0.04,0.04,
a_1,0.03,0.02,0.02,0.02,0.03,3.11,0.08,0.05,0.04,0.05,0.06,0.05,0.11,,,0.08
h_1,0.18,0.1,0.1,0.11,0.09,0.07,2.69,0.27,0.25,0.21,0.26,0.19,,0.13,0.23,0.26
g_1,0.1,0.11,0.15,0.1,0.1,0.12,0.21,2.86,0.16,0.19,0.27,0.22,0.24,0.26,0.2,
d_0,0.12,0.14,,0.27,0.15,0.15,0.27,0.27,1.99,0.3,0.37,0.27,0.34,0.27,0.18,0.32
c_0,0.17,0.19,0.13,,0.11,0.09,0.27,0.16,0.27,2.09,0.29,0.65,0.27,0.35,0.28,0.29
f_0,,0.1,0.15,0.14,0.14,0.08,0.32,0.23,0.26,0.4,2.19,0.23,0.51,0.2,0.53,0.45
b_0,0.14,0.12,0.19,0.13,,0.08,0.26,0.27,0.38,0.24,0.23,2.32,0.42,,0.16,0.37
h_0,0.32,0.2,0.24,0.17,0.17,0.14,,0.52,0.61,0.45,0.41,0.4,,0.21,0.27,0.87
a_0,0.17,0.17,0.15,0.16,0.11,,0.19,0.22,0.35,0.25,0.23,,0.45,2.64,0.26,
e_0,0.18,,0.17,0.16,0.12,,0.4,0.19,0.36,0.29,0.29,0.26,0.5,0.22,2.64,
g_0,0.17,0.23,0.4,0.18,,0.17,0.47,,0.3,0.59,0.49,0.47,0.47,,,
