,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.04,1.51,1.5,1.3,1.35,1.12,0.46,0.45,0.51,0.38,0.37,0.43,0.27,0.34,0.34,0.33
e_1,1.15,1.04,1.59,1.31,1.45,1.31,0.58,0.57,0.64,0.43,0.4,0.55,0.35,0.46,0.38,0.35
c_1,1.57,1.41,1.05,1.95,1.7,1.34,0.61,0.34,0.58,0.47,0.43,0.42,0.31,0.37,0.37,0.32
d_1,1.96,2.03,1.55,1.04,1.55,1.31,0.67,0.66,0.43,0.58,0.55,0.46,0.4,0.43,0.53,0.28
b_1,1.99,1.92,1.27,1.97,1.05,1.89,0.71,0.56,0.59,0.73,0.58,0.52,0.4,0.43,0.43,0.37
a_1,2.65,2.6,2.13,2.58,1.36,1.06,0.97,0.86,0.89,0.73,0.92,0.64,0.6,0.59,0.69,0.52
h_1,4.47,4.17,4.33,3.72,4.23,3.21,1.23,1.26,1.55,1.17,1.14,1.18,1.0,1.0,1.05,0.88
d_0,4.73,3.53,6.09,5.84,5.19,3.85,2.04,1.34,2.11,1.4,1.33,1.28,1.15,1.55,1.22,1.1
g_1,5.45,4.6,5.26,5.7,5.4,4.07,1.7,1.51,1.26,1.46,1.42,1.52,0.98,1.4,1.11,1.06
c_0,6.47,5.82,7.39,3.68,4.88,5.01,2.11,2.29,1.88,1.38,2.0,1.67,1.28,1.37,1.62,1.14
b_0,6.53,5.96,7.78,4.88,6.77,4.32,2.45,2.09,2.27,1.15,1.39,1.65,1.25,1.53,1.76,1.22
f_0,7.53,5.71,7.09,6.21,5.67,5.06,2.26,2.07,1.75,1.71,1.76,1.38,1.36,1.81,1.43,0.91
h_0,8.56,7.5,8.69,7.17,7.07,5.39,3.44,2.28,2.89,2.2,2.13,2.01,1.98,1.86,1.67,1.71
e_0,9.54,8.53,8.64,7.4,7.61,6.15,2.92,2.27,2.55,2.39,2.25,1.45,1.65,1.46,2.02,1.41
a_0,8.36,8.01,8.98,7.33,9.37,7.33,3.34,2.46,3.03,1.92,1.52,2.4,2.02,2.06,1.47,1.67
g_0,10.09,9.1,9.41,9.01,8.02,6.44,3.03,2.95,3.45,2.74,2.48,2.55,1.63,2.13,2.23,1.91
