,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.24,0.03,0.03,0.03,0.02,0.02,0.05,0.12,0.06,0.04,0.06,0.06,0.05,0.08,,0.06
f_1,0.06,2.28,0.04,0.02,0.03,0.02,0.05,0.08,0.06,0.03,0.06,,0.06,0.1,,
c_1,0.03,0.03,2.33,0.03,0.05,0.01,0.06,0.06,,0.06,0.06,0.04,0.04,0.07,0.07,0.07
d_1,0.03,0.04,0.02,2.38,0.02,0.02,0.07,,0.12,0.06,0.05,0.06,0.04,0.09,,0.06
b_1,0.03,0.02,0.03,0.03,2.49,0.04,0.08,0.09,0.07,0.04,,0.06,0.05,0.07,,0.05
a_1,0.03,0.03,0.02,0.03,0.02,3.05,0.07,0.05,0.07,0.04,0.06,0.06,,0.09,,0.05
h_1,0.09,0.13,0.08,0.14,0.12,0.11,2.67,0.16,0.2,0.27,0.17,0.27,0.18,,0.13,0.39
d_0,0.17,0.13,0.27,,0.14,0.1,0.26,1.87,0.33,0.2,0.33,0.24,0.25,0.46,0.21,0.32
c_0,0.15,0.16,,0.14,0.13,0.14,0.17,0.29,1.97,0.27,0.48,0.32,0.29,0.34,0.25,0.42
g_1,0.08,0.06,0.1,0.2,0.09,0.06,0.22,0.26,0.26,2.99,0.27,0.28,0.12,0.26,0.15,
b_0,0.13,0.13,0.11,0.14,,0.13,0.28,0.35,0.31,0.27,2.18,0.24,0.41,0.33,0.31,0.41
f_0,0.15,,0.17,0.13,0.09,0.07,0.32,0.35,0.34,0.22,0.26,2.26,0.3,0.32,0.54,0.31
a_0,0.14,0.16,0.11,0.14,0.11,,0.31,0.41,0.34,0.3,0.27,0.31,2.57,0.31,,
h_0,0.2,0.35,0.22,0.18,0.21,0.13,,0.38,0.47,0.31,0.47,0.48,0.37,,0.39,0.78
e_0,,,0.17,,,,0.24,0.42,0.31,0.25,0.28,0.33,,0.47,2.87,0.3
g_0,0.16,,0.2,0.32,0.2,0.13,0.38,0.48,0.55,,0.49,0.59,,0.71,0.29,
