,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.55,1.16,0.57,0.61,0.59,0.58,0.95,0.86,0.92,0.86,0.45,0.88,0.92,0.67,0.99,0.77
e_1,0.75,2.57,0.81,0.55,0.56,0.7,0.83,0.77,1.68,0.84,1.02,1.0,0.89,0.58,0.97,0.97
c_1,0.65,0.56,2.71,0.65,1.23,0.46,0.96,0.87,0.86,0.4,0.91,0.66,1.01,1.0,0.88,0.98
d_1,0.74,0.57,0.5,2.86,0.6,0.49,0.94,0.88,0.53,1.94,1.05,1.02,1.04,1.01,0.88,1.23
b_1,0.64,0.6,0.71,0.6,3.13,1.31,0.97,0.74,0.73,0.76,0.85,0.43,0.85,0.9,0.8,0.88
a_1,0.69,0.73,0.78,0.66,0.5,4.68,0.87,1.01,0.92,0.65,1.06,1.14,0.95,1.13,0.42,0.77
h_1,1.11,0.77,0.79,0.87,0.72,0.68,2.59,1.5,1.01,1.01,1.04,1.06,0.78,1.23,0.96,1.5
g_1,0.72,0.61,0.74,1.4,0.67,0.68,1.0,3.28,0.9,1.11,1.89,1.23,1.01,1.1,1.22,0.72
d_0,0.75,0.79,1.48,0.4,0.81,0.79,0.99,1.19,1.81,0.78,1.22,1.13,1.16,1.12,1.31,1.02
c_0,0.93,0.81,0.58,0.96,0.45,0.76,0.98,1.12,1.12,2.25,1.08,2.59,1.39,1.35,1.36,1.45
f_0,0.47,0.65,0.97,0.95,0.89,0.83,1.02,1.08,1.2,1.13,2.47,1.4,1.32,2.52,1.11,1.14
b_0,0.82,0.85,0.84,1.05,0.36,0.53,1.19,1.36,1.16,1.24,1.14,2.65,1.51,1.13,2.58,1.2
h_0,1.07,0.75,0.83,0.91,0.79,0.65,0.78,1.6,1.02,1.12,1.17,1.17,0.89,1.21,1.31,1.53
e_0,0.86,0.46,0.78,0.96,0.83,0.83,1.06,1.43,1.03,1.36,1.42,1.6,1.42,3.11,1.42,1.17
a_0,0.75,0.68,0.92,1.07,0.73,0.42,1.28,1.34,1.19,1.25,1.13,1.18,1.48,1.08,3.02,1.33
g_0,0.64,0.67,0.68,1.3,0.91,0.69,0.97,0.9,1.0,1.26,1.87,1.31,1.32,1.52,1.22,0.72
