,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,6.01,1.27,1.49,1.02,1.27,1.35,5.09,2.17,4.62,11.05,7.39,7.05,9.39,7.71,7.17,10.02
e_1,1.08,6.09,1.35,1.66,1.22,1.4,4.62,11.68,4.75,5.38,6.2,7.22,10.02,7.17,3.31,8.23
f_1,1.35,2.31,6.24,1.3,0.96,1.23,4.44,5.42,4.92,6.01,2.26,5.8,7.3,6.11,4.22,6.55
c_1,1.25,1.3,1.37,6.5,2.33,0.95,4.18,6.1,3.92,2.03,6.1,4.23,9.96,5.52,5.42,10.29
b_1,1.34,1.12,1.16,1.37,7.81,2.56,5.0,5.25,4.1,5.4,5.86,2.34,7.63,4.1,7.13,10.22
a_1,1.39,1.29,1.0,1.22,1.5,10.28,5.22,7.54,5.41,6.75,8.08,6.79,9.99,2.57,8.67,8.53
h_1,1.75,1.21,2.46,1.76,1.37,1.15,16.67,6.89,8.11,6.69,6.35,7.23,6.14,8.05,7.75,13.46
d_0,0.96,1.5,1.54,3.31,1.83,1.71,5.74,14.15,4.62,4.93,7.4,7.04,10.73,5.75,6.85,10.28
g_1,2.45,1.38,1.34,1.39,1.48,1.41,4.06,7.47,20.2,6.39,11.89,8.07,12.45,8.69,9.25,5.27
c_0,1.69,1.52,2.03,0.96,1.2,1.41,7.15,8.34,5.48,16.07,8.31,17.73,12.72,9.59,9.51,14.58
f_0,1.79,1.29,1.02,1.91,1.74,1.6,5.92,8.27,7.27,6.41,17.52,8.66,13.26,8.99,17.54,10.87
b_0,1.87,1.51,2.18,1.83,0.57,0.98,5.72,8.17,5.71,6.42,8.51,17.59,13.4,16.87,9.14,10.09
h_0,1.98,1.46,2.48,1.51,1.44,1.35,3.27,7.31,6.81,6.53,7.88,7.97,7.13,6.7,8.04,13.47
a_0,1.97,1.47,1.91,1.5,1.29,0.62,7.21,7.88,4.53,8.2,9.95,7.03,12.72,23.15,10.05,11.84
e_0,2.17,0.63,1.79,1.85,1.38,1.55,7.2,8.03,5.81,7.3,8.5,7.92,13.68,9.26,23.96,13.02
g_0,2.69,1.29,1.58,1.38,1.48,1.44,5.9,5.78,4.12,7.34,13.31,9.3,13.04,8.52,8.14,8.67
