,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.17,0.4,0.63,0.67,0.81,0.77,0.18,0.21,0.16,0.15,0.14,0.13,0.14,0.1,0.39,0.11
f_1,0.62,0.17,0.7,0.62,0.69,0.57,0.13,0.23,0.13,0.12,0.24,0.13,0.13,0.06,0.11,0.09
c_1,0.56,0.64,0.15,0.87,0.6,0.58,0.19,0.18,0.07,0.21,0.14,0.13,0.15,0.1,0.14,0.08
d_1,0.74,0.68,0.78,0.15,0.61,0.63,0.2,0.11,0.31,0.12,0.14,0.12,0.14,0.08,0.11,0.06
b_1,0.61,0.72,0.38,0.75,0.14,0.61,0.22,0.23,0.15,0.17,0.14,0.42,0.15,0.12,0.13,0.12
a_1,0.7,0.82,0.71,0.64,0.34,0.09,0.2,0.2,0.15,0.15,0.13,0.2,0.27,0.12,0.14,0.11
h_1,0.51,0.52,0.52,0.55,0.55,0.41,0.06,0.16,0.11,0.1,0.1,0.11,0.1,0.12,0.09,0.07
g_1,0.57,0.57,0.53,0.49,0.62,0.56,0.11,0.05,0.12,0.09,0.11,0.09,0.09,0.07,0.1,0.1
d_0,0.29,0.56,0.55,0.99,0.51,0.51,0.16,0.21,0.07,0.12,0.11,0.14,0.12,0.07,0.13,0.1
c_0,0.61,0.66,0.85,0.27,0.56,0.45,0.17,0.15,0.16,0.05,0.1,0.1,0.09,0.08,0.09,0.09
f_0,0.46,0.89,0.57,0.51,0.48,0.44,0.15,0.09,0.11,0.1,0.05,0.1,0.08,0.09,0.11,0.05
b_0,0.59,0.54,0.59,0.44,0.82,0.5,0.14,0.14,0.12,0.05,0.1,0.05,0.11,0.07,0.09,0.07
a_0,0.58,0.5,0.56,0.42,0.71,0.9,0.17,0.15,0.13,0.09,0.08,0.06,0.04,0.06,0.11,0.07
h_0,0.49,0.53,0.49,0.43,0.55,0.51,0.23,0.16,0.13,0.11,0.1,0.11,0.1,0.11,0.1,0.07
e_0,0.74,0.91,0.47,0.42,0.47,0.48,0.14,0.13,0.14,0.11,0.05,0.12,0.09,0.09,0.04,0.06
g_0,0.47,0.57,0.57,0.45,0.44,0.51,0.12,0.23,0.12,0.1,0.12,0.11,0.11,0.06,0.12,0.1
