,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,3.67,0.41,0.31,0.39,0.42,0.38,0.79,0.8,1.65,0.67,0.88,0.81,0.92,0.88,0.24,0.61
f_1,0.72,3.77,0.4,0.4,0.36,0.29,0.72,0.67,0.7,0.66,0.19,0.81,0.86,0.59,0.66,0.97
d_1,0.38,0.38,4.21,0.27,0.4,0.43,0.68,0.83,0.26,1.61,0.86,0.89,1.06,0.71,0.82,0.87
c_1,0.32,0.44,0.39,4.62,0.69,0.32,0.65,0.58,0.72,0.14,0.84,0.57,0.94,0.92,0.97,0.97
b_1,0.38,0.43,0.29,0.39,4.95,0.72,0.83,0.77,0.79,0.92,0.88,0.24,0.87,0.68,0.72,0.83
a_1,0.31,0.46,0.38,0.49,0.35,7.58,0.8,0.54,0.71,0.85,0.71,0.82,0.64,0.19,0.55,0.95
h_1,0.63,0.81,0.81,0.73,0.61,0.56,4.86,1.66,1.29,1.37,1.36,1.26,0.52,1.11,1.61,1.87
g_1,0.62,0.6,1.16,0.49,0.51,0.62,1.23,6.0,1.03,1.26,2.62,1.65,1.25,1.6,2.07,0.46
d_0,0.58,0.73,0.26,1.48,0.76,0.63,1.28,1.14,3.53,1.39,1.37,1.37,1.48,1.58,1.45,1.54
c_0,0.79,0.7,0.84,0.25,0.65,0.79,1.39,1.45,1.05,3.98,1.53,2.96,1.49,1.77,1.35,1.73
f_0,0.56,0.28,0.89,1.02,0.64,0.58,1.67,1.31,1.64,1.65,4.57,2.12,1.45,1.76,3.57,2.03
b_0,0.81,0.66,0.84,0.7,0.25,0.66,1.17,1.38,1.42,1.22,1.62,4.87,1.96,2.98,1.69,1.59
h_0,0.65,1.02,0.73,0.82,0.52,0.63,0.39,1.57,1.22,1.13,1.47,1.29,0.59,1.38,1.42,1.75
a_0,0.73,0.66,1.0,0.72,0.66,0.29,1.42,1.51,1.48,1.02,1.38,1.45,1.92,5.61,2.09,1.34
e_0,0.34,0.94,0.66,0.74,0.79,0.73,1.6,1.14,1.46,1.66,1.69,1.38,1.79,1.94,6.01,1.75
g_0,0.59,0.55,1.36,0.84,0.61,0.44,1.33,0.52,1.12,1.1,1.52,1.38,1.4,1.54,1.62,0.43
