,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.42,1.63,1.5,1.28,1.32,1.45,2.9,2.4,4.64,2.58,4.01,3.36,3.63,4.36,3.48,4.03
f_1,1.35,2.44,2.13,1.37,1.48,1.24,2.7,2.87,3.09,3.62,3.12,2.62,3.57,3.69,2.32,4.02
e_1,1.38,1.38,2.57,1.93,1.53,1.38,2.77,2.73,3.03,5.07,3.57,3.19,3.32,3.96,2.78,3.89
c_1,1.56,1.45,1.23,2.62,2.25,1.63,2.85,3.0,1.97,2.67,2.14,3.24,2.85,3.84,3.27,3.97
b_1,1.52,1.42,1.42,1.35,2.83,2.49,2.79,2.98,3.13,3.14,2.5,3.12,2.74,3.88,3.16,4.0
a_1,1.47,1.59,1.44,1.58,1.4,3.29,3.46,3.17,3.13,3.42,3.25,3.69,2.44,4.25,4.06,4.63
h_1,1.66,1.94,1.48,1.45,1.3,1.32,4.19,3.52,3.38,3.27,3.76,3.39,3.33,3.83,3.88,4.9
g_1,2.1,1.42,1.41,1.37,1.35,1.43,2.76,4.63,3.02,3.0,3.56,4.74,3.69,4.24,4.32,3.64
c_0,1.53,1.62,1.75,1.53,1.39,1.49,2.86,3.33,4.3,3.89,5.51,3.67,4.25,4.01,3.92,4.03
d_0,1.34,1.41,1.4,2.59,1.64,1.59,2.81,3.07,2.24,4.26,3.04,3.29,3.61,4.19,3.27,3.59
b_0,1.56,1.75,1.46,2.04,1.35,1.23,2.95,3.02,2.89,3.61,4.49,3.32,5.54,4.58,3.53,4.12
f_0,1.76,1.34,1.31,1.67,1.73,1.49,3.22,2.97,3.63,3.29,3.4,4.83,3.64,4.24,6.55,4.41
a_0,1.58,1.6,1.54,1.81,1.64,1.37,3.17,2.94,3.04,3.28,3.17,3.38,4.96,4.89,3.46,4.3
h_0,1.61,1.95,1.6,1.54,1.45,1.4,2.49,3.62,3.22,3.34,3.23,3.31,3.32,3.54,3.12,4.61
e_0,1.68,1.74,1.28,1.7,1.87,1.52,3.09,2.94,3.37,3.22,3.4,2.84,3.62,4.95,5.47,3.93
g_0,2.22,1.45,1.44,1.56,1.44,1.26,2.88,2.66,3.73,3.21,3.56,4.21,3.2,4.13,3.96,3.64
