,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.16,1.01,0.87,0.88,0.76,0.61,0.66,0.63,0.56,0.56,0.55,0.51,0.48,0.54,0.54
e_1,0.87,1.0,1.09,0.83,0.94,0.85,0.72,0.89,0.78,0.62,0.61,0.74,0.62,0.59,0.57,0.59
c_1,1.0,0.9,1.0,1.15,1.23,0.9,0.71,0.5,0.68,0.54,0.54,0.57,0.51,0.54,0.51,0.54
d_1,1.14,1.16,0.89,1.0,0.91,0.78,0.78,0.7,0.55,0.88,0.74,0.63,0.63,0.6,0.69,0.5
b_1,1.11,1.06,0.82,1.09,1.0,1.31,0.74,0.67,0.64,0.82,0.64,0.65,0.62,0.59,0.51,0.58
a_1,1.29,1.21,1.07,1.21,0.79,1.0,0.88,0.84,0.82,0.74,0.92,0.72,0.8,0.68,0.69,0.71
h_1,1.57,1.38,1.45,1.27,1.38,1.11,1.0,0.88,1.04,0.85,0.82,0.87,0.78,0.81,0.79,0.83
d_0,1.49,1.16,2.01,1.47,1.56,1.16,1.14,1.0,1.15,0.82,0.86,0.83,0.91,1.01,0.84,0.86
g_1,1.55,1.29,1.5,1.82,1.55,1.22,0.97,0.89,1.0,0.95,0.9,1.08,0.79,0.96,0.75,0.78
c_0,1.8,1.62,1.81,1.18,1.27,1.4,1.11,1.23,1.04,1.0,1.39,1.03,0.93,0.86,1.08,0.85
b_0,1.76,1.61,1.91,1.35,1.57,1.11,1.21,1.14,1.14,0.76,1.0,0.96,0.89,0.92,1.25,0.88
f_0,1.72,1.37,1.85,1.61,1.51,1.38,1.13,1.13,0.95,0.97,1.01,1.0,0.96,1.27,0.81,0.73
h_0,2.0,1.71,1.93,1.6,1.66,1.25,1.3,1.07,1.29,1.06,1.07,0.98,1.0,0.99,0.83,1.07
e_0,2.04,1.64,1.96,1.61,1.72,1.47,1.27,1.01,1.1,1.1,1.05,0.81,0.99,1.0,0.99,0.91
a_0,1.9,1.75,1.93,1.57,1.91,1.45,1.35,1.17,1.32,0.94,0.84,1.12,1.17,1.04,1.0,0.99
g_0,1.86,1.76,1.91,1.97,1.71,1.41,1.21,1.21,1.26,1.19,1.11,1.29,0.92,1.08,0.99,1.0
