,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.4,1.62,1.4,1.32,1.47,1.42,3.19,4.81,2.74,2.69,3.86,3.38,4.18,3.6,3.75,3.74
f_1,1.33,2.47,2.24,1.44,1.28,1.39,2.66,2.63,2.72,3.32,2.97,2.24,3.56,3.06,3.73,2.62
e_1,1.41,1.36,2.51,1.84,1.61,1.44,2.83,2.99,2.75,5.0,3.42,3.76,4.28,3.41,4.13,2.9
c_1,1.61,1.41,1.31,2.72,2.46,1.31,2.25,2.33,2.63,2.73,2.25,2.84,3.83,2.83,3.68,3.63
b_1,1.55,1.5,1.35,1.1,2.82,2.65,3.07,3.29,2.9,2.86,2.99,3.63,3.93,3.12,4.17,3.3
a_1,1.57,1.65,1.49,1.74,1.2,3.31,3.1,3.06,3.22,3.12,3.64,3.39,4.25,2.64,4.6,3.11
h_1,1.52,1.82,1.51,1.85,1.28,1.34,4.16,3.13,3.86,3.2,3.07,3.36,3.51,3.25,4.72,3.47
c_0,1.45,1.75,1.65,1.41,1.34,1.66,3.3,4.19,3.38,3.64,5.81,3.35,4.52,4.58,4.55,3.88
g_1,2.01,1.49,1.38,1.62,1.42,1.35,2.68,3.16,4.52,2.69,3.13,4.14,3.93,3.5,3.43,4.01
d_0,1.32,1.52,1.32,2.41,1.81,1.63,2.94,2.66,2.94,4.21,3.43,3.18,4.11,3.2,4.11,3.14
b_0,1.51,1.69,1.66,1.9,1.25,1.32,3.15,2.85,3.23,3.27,4.51,3.8,4.34,6.08,4.45,4.15
f_0,1.72,1.46,1.25,1.78,1.61,1.55,3.17,3.46,3.34,3.22,3.34,4.76,4.41,4.13,3.9,6.36
h_0,1.63,1.93,1.53,1.59,1.58,1.4,2.8,2.99,3.38,3.26,3.27,3.25,3.75,3.48,5.09,3.45
a_0,1.63,1.67,1.59,1.75,1.53,1.14,3.63,3.13,3.12,3.27,2.89,3.41,4.59,5.2,4.83,4.15
g_0,2.11,1.46,1.32,1.63,1.45,1.34,2.85,3.37,3.05,2.8,3.17,4.83,3.84,3.26,4.06,3.91
e_0,1.58,1.88,1.37,1.6,1.45,1.62,3.37,3.45,3.31,3.6,3.38,2.76,4.57,3.24,3.83,5.2
