,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.07,0.98,0.81,0.86,0.71,0.48,0.38,0.43,0.53,0.44,0.38,0.34,0.36,0.26,0.31
f_1,0.94,1.0,1.27,0.94,0.81,0.66,0.41,0.45,0.44,0.39,0.37,0.32,0.3,0.31,0.34,0.23
e_1,1.01,0.79,1.0,1.03,0.93,0.77,0.53,0.49,0.6,0.45,0.46,0.42,0.34,0.35,0.32,0.31
c_1,1.26,1.04,0.96,1.0,1.29,0.71,0.52,0.53,0.34,0.37,0.35,0.46,0.4,0.34,0.33,0.33
b_1,1.17,1.24,1.09,0.8,1.0,1.2,0.53,0.47,0.49,0.51,0.49,0.45,0.41,0.38,0.39,0.37
a_1,1.39,1.51,1.29,1.4,0.86,1.0,0.79,0.72,0.63,0.6,0.64,0.51,0.57,0.56,0.49,0.47
h_1,2.07,2.46,1.99,1.94,1.77,1.28,1.0,1.11,0.8,0.78,0.73,0.7,0.78,0.66,0.74,0.63
g_1,2.68,2.19,2.04,1.94,2.01,1.41,0.89,1.0,0.93,0.97,0.91,1.02,0.67,0.7,0.62,0.76
d_0,2.25,2.28,1.69,3.12,2.0,1.5,1.21,1.04,1.0,0.87,0.97,0.75,0.84,0.65,0.7,0.78
c_0,1.84,2.63,2.24,2.59,1.87,1.68,1.31,1.06,1.22,1.0,1.38,0.87,0.91,0.83,0.7,0.85
b_0,2.35,2.62,2.24,2.7,1.87,1.57,1.33,1.06,0.99,0.72,1.0,0.9,0.83,1.02,0.8,0.67
f_0,2.61,2.8,2.41,2.22,2.17,2.05,1.36,0.95,1.18,1.16,1.14,1.0,0.9,0.93,0.67,1.32
h_0,2.97,3.38,2.9,2.43,2.4,1.85,1.3,1.47,1.19,1.08,1.17,1.1,1.0,0.91,1.04,0.77
a_0,2.93,3.35,2.99,2.83,2.63,1.71,1.56,1.47,1.44,1.23,1.04,1.0,1.09,1.0,0.94,0.81
g_0,3.72,3.03,3.03,2.93,2.59,2.08,1.34,1.55,1.29,1.4,1.35,1.52,0.98,1.09,1.0,1.09
e_0,3.21,4.16,3.29,2.92,2.95,2.13,1.58,1.29,1.22,1.12,1.51,0.84,1.26,1.09,0.9,1.0
