,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.39,1.25,0.7,0.76,0.8,0.66,1.27,1.47,1.24,1.25,1.66,0.92,1.99,1.57,1.49,2.07
e_1,0.71,2.42,0.96,0.61,0.81,0.71,1.46,2.68,1.66,1.88,1.66,1.69,2.11,1.42,0.99,2.2
c_1,0.72,0.67,2.52,0.8,1.26,0.93,1.55,1.41,1.35,0.49,1.27,1.65,2.07,1.9,1.76,2.01
d_1,0.81,0.74,0.63,2.57,0.71,0.61,1.62,1.0,1.36,3.0,2.11,1.6,2.14,1.83,1.86,1.88
b_1,0.72,0.71,0.7,0.74,2.7,1.41,1.85,1.65,1.38,1.66,0.76,2.15,1.99,1.49,1.95,1.6
a_1,0.87,0.83,0.75,0.86,0.57,3.32,1.43,1.78,1.87,1.54,1.68,1.88,2.43,0.87,1.29,1.93
h_1,1.45,0.99,1.02,1.11,0.74,0.83,3.93,1.88,2.52,1.89,1.97,1.96,1.54,2.19,2.34,3.27
d_0,1.17,0.84,1.74,0.51,1.0,0.97,2.13,3.51,1.72,1.9,2.59,1.69,2.38,2.37,1.81,3.07
g_1,0.98,0.86,1.0,1.55,0.91,0.76,1.5,2.3,4.39,2.08,2.07,3.24,1.86,1.75,2.43,2.15
c_0,1.38,0.79,0.92,0.9,0.87,0.97,2.15,2.93,2.23,3.95,4.01,2.4,3.54,2.73,2.15,2.81
b_0,1.14,1.06,1.13,1.01,0.44,0.7,2.11,2.31,2.05,2.64,4.27,2.43,3.41,4.26,2.21,3.14
f_0,0.6,0.97,1.25,1.23,0.92,1.04,1.83,2.38,1.88,2.06,1.93,4.29,2.99,2.65,4.24,3.1
h_0,1.25,0.96,0.97,1.2,1.02,0.92,1.2,2.0,2.62,2.12,1.99,2.24,1.67,2.11,2.39,3.49
a_0,1.18,1.21,1.09,1.26,0.84,,2.24,1.99,2.55,2.0,1.67,2.2,2.74,4.68,2.94,2.68
e_0,1.1,0.44,1.11,1.12,1.21,0.84,2.11,2.47,2.25,2.42,2.56,1.87,2.97,2.46,4.77,3.48
g_0,1.03,0.79,1.17,1.42,1.02,0.99,1.61,1.61,1.12,1.86,1.78,2.98,2.87,2.17,2.22,1.94
