,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.23,0.56,0.35,0.58,0.45,0.34,0.8,2.0,1.0,0.79,1.1,1.08,1.45,0.98,0.33,0.99
f_1,0.89,2.28,0.43,0.46,0.32,0.33,1.04,0.93,1.07,0.63,1.06,0.39,1.02,0.76,0.65,1.21
d_1,0.52,0.53,2.43,0.31,0.44,0.39,0.88,0.3,1.96,0.82,1.0,1.02,1.2,0.88,0.74,1.13
c_1,0.49,0.42,0.46,2.5,0.89,0.33,0.69,0.98,0.22,0.64,0.85,0.88,1.15,0.59,0.85,1.0
b_1,0.39,0.54,0.46,0.52,2.65,0.7,0.81,1.14,0.95,0.95,0.52,0.94,1.16,0.66,0.84,0.94
a_1,0.53,0.63,0.5,0.48,0.34,3.01,1.0,1.16,0.83,0.51,0.96,0.87,1.16,0.29,0.96,1.19
h_1,0.56,0.84,0.67,0.48,0.45,0.36,2.99,1.12,1.3,1.2,1.34,1.14,0.79,1.01,0.7,1.6
d_0,0.63,0.65,0.33,1.07,0.56,0.43,0.88,2.39,0.85,0.9,1.06,1.17,1.73,0.89,0.86,1.25
c_0,0.64,0.74,0.73,0.28,0.38,0.56,1.34,0.95,2.52,0.94,2.12,1.27,1.49,1.07,1.09,1.44
g_1,0.44,0.48,1.13,0.52,0.39,0.47,1.09,1.01,1.16,3.35,1.08,1.91,1.36,0.75,1.19,0.78
b_0,0.64,0.66,0.66,0.54,0.24,0.43,1.21,1.34,1.37,0.98,2.59,1.35,1.63,1.96,1.13,1.52
f_0,0.47,0.33,0.74,0.69,0.48,0.53,1.2,1.35,1.39,1.2,1.37,2.83,1.91,1.18,2.28,1.61
h_0,0.6,0.88,0.59,0.63,0.51,0.44,0.81,1.43,1.35,1.41,1.13,1.3,0.85,0.89,1.07,1.61
a_0,0.62,0.76,0.69,0.59,0.43,0.14,1.33,1.17,1.25,1.21,1.1,1.52,1.56,3.02,0.98,1.65
e_0,0.22,0.62,0.76,0.54,0.65,0.52,1.36,1.23,1.3,1.13,1.62,1.53,1.81,1.11,3.2,1.62
g_0,0.53,0.47,0.96,0.53,0.58,0.38,1.07,0.98,1.33,0.66,1.28,1.94,1.33,1.35,1.11,0.89
