,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,9204.1,2902.48,3713.48,7258.33,8526.42,44333.7,3075813.46,7202957.09,23356788.49,12681695.33,23233472.71,28977053.36,119809664.75,100549867.21,81288808.97,180338121.24
f_1,4400.95,10191.5,3885.79,6080.66,7922.98,35137.76,2647214.9,5911366.36,11330724.89,10701617.18,10300617.05,24015643.48,96113666.26,60081368.01,87099167.89,227422539.62
d_1,2549.98,2600.04,17589.38,4968.79,7917.31,50440.42,2594596.93,7818625.01,6616098.82,27662053.97,25526325.24,33433551.64,117249227.05,82710833.5,136278868.82,240187569.83
c_1,2100.05,2878.91,3931.66,29324.47,15502.66,37152.6,2647184.07,5809960.98,11362561.92,5552360.72,21111829.94,20308428.5,116495833.07,85850108.65,133615205.01,235165690.73
b_1,2190.89,2772.68,3577.09,6698.92,42641.19,89429.71,3260648.78,7423095.65,11707467.61,15076566.5,23099822.71,15034890.76,97967650.4,76601117.06,114770062.07,238769871.22
a_1,2076.94,3085.88,4337.19,7441.83,8761.43,353874.66,3258655.33,4917359.01,10909047.14,13208935.42,20515313.75,30560225.97,96681933.43,44154551.36,105414939.49,253152162.15
h_1,2829.11,4248.91,5217.43,7610.9,9209.49,47110.78,8411539.18,11955951.95,12973246.11,16039018.35,30068781.42,32819261.0,76262703.54,102008535.07,155599809.32,355951923.75
g_1,2576.46,2744.42,8295.59,6212.71,8796.78,55027.35,3634400.81,23770200.84,11849189.75,16499374.98,47686091.79,33502211.38,126563187.42,119984420.51,202801775.07,180593085.89
d_0,2499.86,3163.93,3412.57,14883.98,11003.89,58718.44,3489952.78,7831947.56,25274967.31,14583634.22,27378915.31,33538142.54,120442189.46,120397395.3,160537031.67,309739574.69
c_0,3302.81,3234.02,5593.6,4587.8,8198.71,58492.73,3670557.99,8267604.23,15263457.06,33863359.99,35200277.3,77465743.99,139141258.85,127160735.79,165209671.82,367794172.93
f_0,2429.81,2094.51,5661.69,9490.3,10132.62,65663.47,3970701.06,9134986.13,14793255.38,18169754.75,59962546.25,42728940.0,143427880.59,131143957.62,340610018.36,350950359.23
b_0,3134.45,3179.13,6048.07,8184.26,6684.07,41731.86,3347438.69,9333017.77,14265648.49,13872954.68,31522579.92,75587429.23,161749954.32,235185159.59,176925628.57,356793490.01
h_0,2671.59,4481.37,5368.54,8202.57,9371.89,53817.56,2137264.51,10358860.33,15512567.55,14647284.32,29185786.26,32593201.9,90643788.58,93117075.04,159774359.93,383034590.14
a_0,2911.46,3474.96,6451.89,7520.55,9456.09,43927.8,3832472.99,8689251.89,15008427.19,16034614.34,29857501.95,33282030.81,161626937.18,263147801.9,197242316.33,317528598.24
e_0,2006.63,4057.17,5479.8,7410.57,11322.12,46804.81,4289155.75,7486928.58,16194488.17,20579400.36,26651839.09,38987835.44,137645041.8,124143815.48,392259801.78,349901811.29
g_0,2423.32,2621.03,9128.49,8636.09,8903.23,46958.93,3443360.06,7231379.59,11739546.27,17141043.22,35031671.32,37097172.7,127486487.89,112957360.92,150425283.57,217672503.06
