,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.68,0.96,1.31,0.91,0.77,0.6,0.64,0.46,0.38,0.47,0.47,0.36,0.39,0.3,0.36
f_1,1.47,1.0,0.85,0.85,0.84,0.6,0.4,0.45,0.46,0.45,0.39,0.32,0.31,0.25,0.38,0.32
d_1,1.04,1.17,1.0,0.93,0.91,0.71,0.5,0.45,0.41,0.58,0.41,0.44,0.35,0.35,0.31,0.26
c_1,0.78,1.16,1.08,1.0,1.32,0.75,0.5,0.33,0.42,0.35,0.41,0.33,0.38,0.32,0.29,0.36
b_1,1.09,1.21,1.09,0.76,1.0,1.32,0.56,0.51,0.48,0.54,0.44,0.51,0.43,0.38,0.33,0.38
a_1,1.3,1.66,1.39,1.34,0.77,1.0,0.67,0.67,0.66,0.51,0.48,0.66,0.54,0.52,0.54,0.46
h_1,1.76,2.42,2.02,1.94,1.76,1.42,1.0,0.83,1.13,0.83,0.81,0.76,0.64,0.63,0.63,0.81
d_0,1.54,2.15,2.25,2.96,2.02,1.58,1.18,1.0,1.13,0.75,0.96,0.92,0.75,0.76,0.81,0.76
g_1,2.16,2.13,2.46,2.38,2.18,1.6,0.9,0.84,1.0,0.94,1.14,0.74,0.64,0.66,0.66,0.69
c_0,2.58,2.2,1.75,2.53,1.66,2.15,1.27,1.3,1.08,1.0,1.0,1.21,0.8,0.71,0.76,0.76
f_0,2.01,2.58,2.51,2.65,2.26,1.94,1.24,1.08,0.96,0.97,1.0,1.0,0.82,1.2,0.89,0.62
b_0,2.2,2.87,2.17,3.19,1.85,1.48,1.29,1.04,1.38,0.77,0.97,1.0,0.89,0.97,1.23,0.88
h_0,2.8,3.15,2.78,2.67,2.23,1.86,1.52,1.32,1.54,1.22,1.19,1.14,1.0,0.8,0.88,1.02
e_0,2.59,3.97,2.77,3.15,2.37,1.96,1.67,1.38,1.51,1.41,0.81,1.07,1.26,1.0,1.24,1.02
a_0,3.45,2.73,3.15,3.48,3.05,1.82,1.55,1.31,1.48,1.41,1.08,0.85,1.14,0.76,1.0,0.9
g_0,2.88,3.11,3.96,2.78,2.66,2.33,1.22,1.28,1.53,1.41,1.62,1.11,0.98,0.95,1.12,1.0
