,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.46,15.85,37.23,27.04,32.15,20.51,9.84,11.05,10.7,6.82,7.43,7.96,7.3,5.22,,4.44
f_1,35.26,0.44,37.96,44.14,27.03,46.98,7.55,7.78,7.07,5.92,,6.91,6.48,2.79,6.04,6.12
d_1,31.93,40.51,0.44,36.8,33.8,39.32,12.7,7.53,5.72,,5.44,6.65,6.44,4.19,8.48,2.61
c_1,46.05,31.86,45.46,0.41,44.27,43.39,10.23,6.48,,4.05,8.35,7.37,7.12,5.15,7.05,4.75
b_1,40.0,36.09,34.6,21.17,0.39,39.14,12.25,9.44,9.96,7.23,10.22,,11.02,4.61,5.84,6.7
a_1,43.23,59.15,32.04,47.66,30.31,0.33,11.29,12.65,8.81,,9.71,9.69,,5.56,,6.01
h_1,16.71,16.3,16.93,13.91,15.41,16.24,0.38,7.53,3.52,3.57,4.3,3.12,2.98,,3.0,3.55
g_1,14.86,23.93,17.07,20.42,23.22,23.18,4.52,0.35,3.47,4.38,4.18,3.69,3.94,1.81,,
c_0,13.48,16.49,9.05,,17.4,15.36,4.6,4.41,0.51,2.82,2.41,3.71,4.34,2.09,3.89,2.04
d_0,10.46,13.77,,18.52,15.8,,3.67,7.55,2.97,0.48,2.73,2.81,3.58,2.18,2.77,2.7
f_0,19.6,,18.65,17.35,14.8,19.69,5.22,3.23,3.36,4.43,0.45,2.47,2.89,2.67,3.35,1.68
b_0,23.66,21.13,21.74,18.03,,24.6,3.73,3.9,1.68,3.58,3.89,0.46,4.24,2.45,2.28,2.52
a_0,31.35,21.21,23.05,18.96,28.13,,4.12,4.16,4.09,3.91,5.15,2.32,0.38,3.39,,2.62
h_0,12.96,15.8,15.09,13.48,10.26,10.24,,3.38,2.91,1.88,3.08,3.37,2.4,,1.98,1.51
e_0,,33.98,14.54,20.94,28.85,,4.74,,4.07,4.58,1.84,5.24,,3.66,0.37,2.48
g_0,13.97,15.4,14.17,16.9,18.11,17.88,2.63,,2.39,3.33,2.47,2.92,3.85,1.93,2.64,
