,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.04,0.92,0.81,0.92,0.79,0.78,0.91,0.56,0.8,0.77,0.6,0.6,0.57,0.5,0.69
f_1,0.97,1.0,1.32,0.94,0.82,0.73,0.64,0.59,0.66,0.69,0.59,0.47,0.49,0.54,0.57,0.45
e_1,1.08,0.76,1.0,1.07,1.03,0.91,0.69,0.65,0.67,0.88,0.69,0.74,0.63,0.6,0.62,0.55
c_1,1.24,1.06,0.92,1.0,1.5,0.79,0.57,0.5,0.62,0.48,0.47,0.56,0.62,0.55,0.58,0.62
b_1,1.1,1.21,0.98,0.67,1.0,1.5,0.89,0.73,0.76,0.61,0.79,0.73,0.68,0.59,0.66,0.62
a_1,1.26,1.37,1.1,1.28,0.67,1.0,0.93,0.82,0.86,0.74,0.86,0.86,0.86,0.69,0.81,0.55
h_1,1.26,1.57,1.44,1.72,1.11,1.09,1.0,0.89,1.24,0.88,0.82,0.93,0.84,0.75,0.91,0.69
c_0,1.13,1.58,1.54,1.83,1.24,1.26,1.13,1.0,1.18,1.12,1.45,0.93,0.97,1.09,0.94,0.87
g_1,1.75,1.64,1.42,1.57,1.29,1.11,0.81,0.87,1.0,0.83,0.84,1.04,0.81,0.85,0.83,0.75
d_0,1.34,1.48,1.12,2.07,1.64,1.22,1.13,0.89,1.2,1.0,1.06,0.89,0.9,0.89,0.83,0.74
b_0,1.33,1.68,1.42,2.11,1.39,1.24,1.22,0.73,1.17,0.97,1.0,1.14,1.03,1.31,0.89,0.93
f_0,1.66,1.92,1.27,1.84,1.45,1.2,1.07,1.06,0.99,1.09,0.92,1.0,1.01,1.15,0.74,1.36
h_0,1.67,1.98,1.55,1.67,1.55,1.14,1.19,1.05,1.24,1.08,0.97,1.0,1.0,0.9,1.12,0.88
a_0,1.7,2.0,1.64,1.94,1.65,1.28,1.36,0.96,1.21,1.29,0.75,0.98,1.12,1.0,1.03,1.0
g_0,2.11,1.68,1.66,1.83,1.47,1.25,1.09,1.11,1.18,1.12,1.03,1.37,0.88,0.92,1.0,1.12
e_0,1.54,2.27,1.86,1.55,1.59,1.74,1.44,1.2,1.31,1.41,1.01,0.75,1.07,1.0,0.83,1.0
