,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,35.02,0.11,0.06,0.07,0.07,0.09,0.28,0.34,0.2,0.35,0.39,,0.73,0.46,0.61,0.3
e_1,0.06,37.75,0.04,0.07,0.06,0.05,0.27,0.38,0.23,0.73,0.38,0.39,0.73,0.36,0.59,
d_1,0.07,0.06,38.33,0.07,0.09,0.06,0.34,0.58,0.29,,0.35,0.3,0.46,0.35,0.63,0.51
c_1,0.07,0.05,0.09,40.67,0.11,0.07,0.35,,0.24,0.42,0.31,0.31,0.6,0.24,0.7,0.47
b_1,0.06,0.06,0.09,0.07,50.63,0.13,0.34,0.38,0.23,0.38,,0.3,0.57,0.45,0.44,0.29
a_1,0.05,0.06,0.07,0.07,0.06,79.49,0.31,0.43,0.34,0.51,0.26,0.37,0.53,,0.4,
h_1,0.28,0.28,0.28,0.23,0.25,0.36,26.4,1.53,1.63,1.48,1.37,1.25,,0.92,3.36,1.23
c_0,0.25,0.36,0.34,,0.27,0.34,1.8,17.64,1.62,2.02,4.2,2.07,3.76,1.77,2.2,2.16
g_1,0.33,0.3,0.32,0.3,0.33,,1.23,1.44,35.92,0.75,1.65,2.0,1.52,1.15,,
d_0,0.37,0.3,,0.61,0.38,0.26,1.54,1.78,1.29,17.6,2.35,2.12,2.99,2.71,3.22,2.41
b_0,0.43,0.42,0.16,0.28,,0.28,0.85,1.94,1.87,2.29,20.95,3.79,2.93,3.92,2.35,1.86
f_0,,0.2,0.37,0.4,0.36,0.41,1.48,2.38,1.71,1.98,2.13,20.83,3.15,2.65,2.56,4.4
h_0,0.89,0.61,0.59,0.63,0.37,0.42,,3.37,3.18,2.84,3.08,2.0,,2.27,5.77,2.45
a_0,0.36,0.32,0.52,0.36,0.38,,1.14,1.79,1.45,2.11,,2.04,4.23,29.11,2.44,
g_0,0.54,0.46,0.8,0.44,0.56,0.56,2.55,2.34,,2.37,2.77,5.81,4.53,2.63,,2.62
e_0,0.29,,0.42,0.36,0.34,0.42,1.68,3.04,,2.58,1.6,2.67,3.2,,3.48,32.7
