,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,6.09,2.66,2.97,2.33,2.6,2.82,10.49,10.19,22.13,9.92,18.22,13.49,20.15,16.96,15.7,22.19
e_1,2.21,6.18,2.87,3.52,3.06,3.05,9.9,9.7,11.98,22.3,12.24,15.63,21.86,15.46,11.51,19.84
f_1,2.43,4.68,6.28,2.9,2.73,2.43,8.29,9.6,12.17,13.94,13.47,9.24,20.7,14.58,9.59,15.01
c_1,2.72,2.46,2.56,7.27,5.12,3.27,10.46,10.1,8.19,12.27,9.22,14.48,18.83,11.54,12.14,19.15
b_1,3.1,2.34,3.1,2.79,8.14,5.14,11.37,10.02,11.94,11.49,9.17,12.28,18.77,9.01,15.26,20.1
a_1,3.08,2.91,3.12,2.97,2.52,11.08,11.44,10.43,11.69,14.78,11.8,14.13,23.12,9.16,17.41,21.13
h_1,3.16,2.73,3.54,3.25,3.18,3.16,17.92,13.0,12.66,12.46,13.86,13.02,17.54,14.92,15.56,26.82
g_1,4.38,2.34,2.16,3.07,3.27,3.12,11.83,21.94,13.89,11.71,13.95,20.12,21.67,17.99,19.28,18.67
c_0,3.25,3.04,3.01,2.56,2.54,3.24,10.93,11.84,19.61,15.27,24.41,14.97,23.97,22.49,16.07,23.32
d_0,2.18,3.05,3.2,5.19,3.26,2.91,11.24,11.16,9.03,20.26,11.24,15.37,21.31,14.25,15.45,21.0
b_0,3.62,3.12,2.96,2.97,2.03,2.65,11.9,12.2,14.9,14.09,21.99,13.33,22.95,33.2,15.38,24.3
f_0,3.33,2.25,2.79,3.04,3.08,4.09,13.36,12.71,14.66,12.81,15.52,23.15,24.67,17.57,32.88,23.33
h_0,3.31,3.05,3.9,3.07,3.0,2.62,8.45,13.62,14.0,12.3,12.5,13.08,17.16,17.43,12.05,25.22
a_0,3.45,3.06,3.06,3.36,2.81,2.61,11.75,12.24,14.85,14.07,15.01,14.92,22.84,27.03,13.57,21.57
e_0,3.42,2.56,3.24,3.06,3.17,3.29,12.24,11.36,15.9,13.28,16.27,14.66,25.75,17.14,28.53,23.99
g_0,4.22,2.63,2.97,2.86,2.51,3.3,10.73,10.55,15.21,11.61,14.16,19.52,20.32,17.9,15.36,19.99
