,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.89,2.83,3.44,2.31,3.02,2.92,10.56,10.67,21.27,11.42,14.38,12.85,12.95,21.06,10.91,22.44
f_1,4.32,6.12,2.88,2.49,2.73,2.46,9.69,10.54,13.82,11.66,10.24,11.55,12.87,21.14,9.7,20.0
c_1,2.66,2.73,6.66,2.61,4.64,3.12,9.73,9.8,12.45,9.54,13.18,10.25,12.03,19.34,14.79,18.96
d_1,2.78,3.08,2.24,7.0,2.54,2.78,10.48,11.73,8.91,24.84,14.4,16.55,17.22,22.32,17.87,21.34
b_1,2.54,2.72,3.12,2.81,7.18,5.86,9.44,8.78,13.61,13.17,13.47,9.65,10.65,19.88,14.93,21.7
a_1,2.55,2.98,3.15,2.84,2.97,11.69,12.54,9.96,11.66,12.26,14.12,14.47,11.53,20.2,17.02,20.32
h_1,2.98,3.89,3.07,3.26,2.74,2.97,18.13,13.65,12.59,12.51,13.65,13.78,12.97,16.91,14.55,26.59
g_1,2.84,2.81,2.84,4.65,2.57,3.14,9.86,21.52,10.38,15.71,20.89,16.37,15.88,22.54,17.05,19.68
d_0,2.69,3.12,5.3,2.17,3.08,3.01,10.59,10.43,18.96,10.79,13.95,12.05,15.28,20.33,14.95,20.94
c_0,2.99,3.45,2.39,3.52,2.41,2.69,12.41,13.15,12.13,24.12,15.01,27.95,20.56,22.5,16.08,24.89
f_0,2.58,2.94,3.17,3.13,3.04,3.32,11.6,11.29,15.14,14.84,24.67,16.46,18.87,22.74,32.15,21.87
b_0,3.19,3.38,2.96,3.6,2.27,2.29,12.34,14.0,12.25,17.71,15.39,26.64,30.95,21.83,14.42,25.37
a_0,2.96,3.42,3.07,2.95,2.87,2.41,12.18,12.22,12.72,16.39,17.09,15.59,29.4,23.1,21.58,20.86
h_0,2.9,3.83,3.26,3.15,2.79,2.55,8.87,14.11,13.7,15.38,12.31,13.96,16.78,17.71,14.96,28.02
e_0,2.03,3.49,3.17,3.31,3.08,3.19,13.06,11.65,11.72,17.09,14.57,15.62,16.48,24.88,30.39,23.59
g_0,2.59,3.04,3.27,4.37,3.05,3.0,11.04,9.95,12.59,14.21,21.14,13.65,14.46,21.26,18.39,18.27
