,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.87,0.9,1.11,0.91,0.82,0.7,0.87,0.7,0.57,0.64,0.65,0.64,0.6,0.62,0.6
f_1,1.18,1.0,0.89,0.97,0.87,0.8,0.61,0.67,0.71,0.61,0.58,0.54,0.55,0.52,0.55,0.43
d_1,1.11,1.12,1.0,0.87,0.85,0.81,0.7,0.67,0.52,0.84,0.69,0.62,0.6,0.63,0.51,0.56
c_1,0.89,1.01,1.15,1.0,1.28,0.88,0.78,0.49,0.67,0.56,0.54,0.61,0.52,0.57,0.52,0.6
b_1,1.06,1.17,1.14,0.8,1.0,1.39,0.83,0.65,0.78,0.79,0.69,0.75,0.59,0.74,0.67,0.62
a_1,1.24,1.24,1.2,1.15,0.74,1.0,0.97,0.79,0.86,0.81,0.98,0.82,0.75,0.67,0.77,0.66
h_1,1.4,1.62,1.4,1.27,1.22,1.04,1.0,0.87,0.98,0.86,0.8,0.88,0.78,0.79,0.9,0.84
d_0,1.16,1.49,1.5,2.0,1.53,1.26,1.16,1.0,1.03,0.76,0.92,0.91,0.89,0.82,0.87,0.91
g_1,1.46,1.41,1.85,1.5,1.29,1.1,1.04,0.95,1.0,1.02,1.0,1.25,0.91,0.74,0.92,0.94
c_0,1.75,1.66,1.22,1.75,1.3,1.13,1.15,1.28,1.0,1.0,1.33,1.06,1.07,1.0,1.04,0.87
b_0,1.57,1.76,1.47,1.8,1.5,1.01,1.17,1.16,1.0,0.72,1.0,1.03,1.33,0.95,0.88,0.93
f_0,1.5,1.82,1.61,1.62,1.42,1.2,1.09,1.08,0.82,0.94,0.96,1.0,0.94,1.0,0.82,1.32
a_0,1.6,1.76,1.67,2.01,1.74,1.3,1.28,1.16,1.07,0.92,0.78,1.04,1.0,0.96,0.92,1.08
h_0,1.69,1.94,1.61,1.75,1.4,1.45,1.29,1.2,1.38,0.98,1.04,1.01,1.03,1.0,1.11,0.93
g_0,1.62,1.78,1.98,1.82,1.54,1.2,1.17,1.1,1.07,0.99,1.08,1.21,1.16,0.87,1.0,1.04
e_0,1.73,2.23,1.8,1.65,1.64,1.49,1.19,1.15,1.05,1.1,1.02,0.78,0.98,1.04,0.91,1.0
