,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.5,0.43,0.69,0.48,0.46,0.34,0.51,0.38,0.58,0.6,0.49,0.27,0.57,0.44,0.47,0.43
d_1,0.52,1.52,0.42,0.4,0.43,0.38,0.61,0.49,0.87,0.29,0.56,0.62,0.57,0.49,0.58,0.45
e_1,0.45,0.5,1.52,0.47,0.4,0.35,0.55,0.53,0.58,0.88,0.49,0.54,0.64,0.4,0.57,0.21
c_1,0.48,0.49,0.47,1.57,0.68,0.44,0.5,0.44,0.25,0.51,0.4,0.51,0.53,0.43,0.57,0.47
b_1,0.47,0.54,0.44,0.47,1.6,0.64,0.57,0.49,0.45,0.54,0.27,0.47,0.6,0.38,0.49,0.5
a_1,0.61,0.54,0.61,0.38,0.38,1.7,0.64,0.56,0.54,0.55,0.74,0.43,0.66,0.31,0.59,0.34
h_1,0.96,0.71,0.7,0.74,0.66,0.58,1.66,0.89,0.92,0.76,0.9,0.8,0.46,0.64,0.98,0.73
g_1,0.9,1.03,0.61,0.73,0.7,0.56,0.78,1.75,0.84,0.65,0.87,1.08,0.91,0.79,0.48,0.65
c_0,0.94,0.74,0.69,0.46,0.66,0.7,0.9,0.92,1.53,0.9,1.54,0.97,1.03,0.78,0.85,0.8
d_0,0.79,0.33,0.62,1.21,0.7,0.68,0.91,1.14,0.75,1.51,1.03,0.96,0.91,0.69,0.93,0.89
b_0,0.81,0.93,0.76,0.99,0.4,0.51,0.97,0.9,0.73,0.91,1.57,0.93,1.13,1.55,0.96,0.87
f_0,0.48,0.83,0.75,0.8,0.82,0.69,1.01,0.88,0.93,0.91,1.0,1.62,0.98,0.74,1.0,1.46
h_0,0.93,0.87,0.82,0.85,0.65,0.72,0.6,1.02,0.9,0.93,0.9,0.83,0.59,0.77,1.26,0.77
a_0,0.94,0.89,0.87,0.87,0.77,0.36,0.93,0.91,0.93,1.07,0.73,1.06,1.27,1.74,1.19,0.73
g_0,0.88,1.07,0.69,0.88,0.73,0.63,0.9,0.71,1.05,1.01,0.86,1.18,0.86,0.79,0.62,0.87
e_0,0.75,0.97,0.74,0.81,0.68,0.94,1.08,1.05,0.94,0.82,0.96,0.83,1.17,0.97,1.08,1.73
