,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.45,1.04,1.59,1.44,3.58,16.44,28.47,27.73,33.78,37.89,40.9,72.82,59.9,93.24,155.74
e_1,0.69,1.0,1.08,1.7,1.46,4.58,19.36,29.49,26.72,51.18,47.21,38.28,76.73,102.34,102.41,133.57
d_1,0.96,0.94,1.0,1.35,1.49,3.9,17.27,18.85,39.59,29.35,35.09,37.83,72.12,80.1,74.38,98.17
c_1,0.64,0.59,0.74,1.0,1.56,2.58,11.25,18.37,16.76,17.03,22.89,22.55,49.52,55.45,56.1,78.14
b_1,0.69,0.68,0.67,0.64,1.0,3.61,11.53,17.43,18.73,24.38,24.57,23.0,61.24,53.56,52.66,78.56
a_1,0.28,0.22,0.26,0.39,0.28,1.0,4.94,6.71,8.28,9.14,9.22,10.97,22.58,23.06,29.14,31.8
h_1,0.06,0.05,0.06,0.09,0.08,0.19,1.0,1.6,1.56,1.77,2.25,1.96,4.38,3.75,5.14,9.07
g_1,0.03,0.03,0.05,0.06,0.06,0.16,0.64,1.0,0.94,1.23,1.86,1.42,2.54,2.99,3.39,4.64
c_0,0.03,0.04,0.03,0.06,0.05,0.12,0.64,1.06,1.0,1.6,1.3,1.95,2.74,3.02,3.55,4.31
d_0,0.03,0.02,0.03,0.06,0.04,0.11,0.56,0.82,0.61,1.0,0.92,0.99,2.22,2.7,2.79,3.74
f_0,0.03,0.02,0.03,0.05,0.04,0.11,0.46,0.52,0.76,1.06,1.0,0.99,2.31,4.09,2.48,2.67
b_0,0.02,0.02,0.03,0.05,0.04,0.1,0.53,0.72,0.53,1.02,0.98,1.0,2.38,2.24,3.47,3.35
h_0,0.01,0.01,0.01,0.02,0.02,0.05,0.22,0.39,0.37,0.44,0.43,0.43,1.0,0.86,1.17,1.63
e_0,0.02,0.01,0.01,0.02,0.02,0.04,0.28,0.34,0.33,0.39,0.25,0.46,1.16,1.0,1.11,1.42
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.31,0.3,0.37,0.39,0.29,0.91,0.91,1.0,1.51
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.21,0.23,0.26,0.36,0.33,0.63,0.69,0.63,1.0
