,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,23.08,0.38,0.32,0.39,0.36,0.31,0.89,0.66,1.48,0.56,0.86,0.7,0.81,0.69,0.66,0.31
f_1,0.67,24.25,0.28,0.31,0.28,0.35,0.7,0.76,0.85,0.99,0.85,0.2,0.76,0.67,0.56,0.77
d_1,0.33,0.35,28.06,0.26,0.37,0.27,0.65,0.68,0.23,1.76,0.89,0.85,0.94,0.89,0.94,0.8
c_1,0.32,0.31,0.39,27.21,0.62,0.35,0.78,0.72,0.69,0.2,0.45,0.71,0.97,0.83,0.91,0.72
b_1,0.28,0.36,0.35,0.37,30.1,0.67,0.52,0.58,0.79,0.91,0.26,0.9,1.13,0.9,0.66,0.85
a_1,0.34,0.34,0.27,0.37,0.4,47.19,0.78,0.75,0.79,0.53,0.87,0.8,0.82,0.92,0.25,0.68
h_1,0.49,0.86,0.72,0.59,0.67,0.55,9.11,1.44,1.25,1.2,1.77,1.9,0.48,2.03,1.77,1.83
g_1,0.5,0.6,1.09,0.73,0.44,0.53,1.33,11.97,1.03,1.1,1.25,2.78,1.39,0.59,1.62,1.68
d_0,0.64,0.71,0.19,1.34,0.76,0.62,1.26,1.43,5.18,1.0,1.3,1.96,1.75,1.55,1.45,1.73
c_0,0.76,0.62,0.84,0.27,0.37,0.72,1.73,1.95,1.64,6.04,3.9,2.07,1.39,2.3,1.87,1.15
b_0,0.59,0.7,0.75,0.96,0.2,0.59,1.89,1.32,1.65,1.03,6.74,1.42,1.72,2.02,3.26,1.76
f_0,0.53,0.29,0.8,0.74,0.65,0.69,1.25,1.66,1.42,1.58,1.68,6.79,1.91,2.43,1.82,4.43
h_0,0.52,1.17,0.62,0.63,0.57,0.71,0.53,1.61,1.53,1.25,1.36,1.24,0.51,2.07,1.77,1.48
g_0,0.46,0.56,1.45,0.6,0.65,0.62,1.31,0.41,1.04,0.97,1.68,2.21,1.5,0.71,1.25,1.29
a_0,0.66,0.67,0.69,0.84,0.55,0.46,1.42,1.36,1.51,2.16,2.01,1.68,2.31,2.05,9.05,1.3
e_0,0.22,0.67,0.68,0.93,0.72,0.84,1.61,1.48,1.41,1.81,1.75,2.11,1.72,1.85,1.64,10.22
