,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.89,0.95,0.85,0.74,0.58,0.64,0.66,0.58,0.57,0.65,0.46,0.56,0.48,0.58
e_1,0.79,1.0,0.96,1.05,1.01,0.8,0.73,0.74,0.91,0.66,0.78,0.73,0.63,0.63,0.67,0.6
d_1,1.12,1.05,1.0,0.89,0.86,0.77,0.68,0.59,0.73,0.84,0.59,0.6,0.62,0.54,0.64,0.46
c_1,1.05,0.95,1.11,1.0,1.31,0.83,0.69,0.7,0.46,0.44,0.63,0.5,0.57,0.58,0.6,0.53
b_1,1.17,0.98,1.16,0.77,1.0,1.32,0.87,0.76,0.73,0.68,0.62,0.66,0.72,0.49,0.61,0.55
a_1,1.35,1.27,1.27,1.21,0.75,1.0,0.85,0.81,0.64,0.87,0.79,0.86,0.78,0.63,0.66,0.66
h_1,1.71,1.35,1.51,1.47,1.17,1.14,1.0,1.09,0.97,0.76,0.78,0.85,0.81,0.76,0.71,0.94
g_1,1.52,1.4,1.73,1.46,1.28,1.13,0.94,1.0,0.89,0.97,1.11,0.85,0.66,0.94,0.88,0.72
d_0,1.52,1.12,1.34,2.24,1.42,1.57,1.06,1.17,1.0,0.8,1.01,0.85,0.88,0.94,0.69,0.92
c_0,1.73,1.56,1.21,2.0,1.33,1.22,1.31,1.04,1.19,1.0,0.9,1.47,0.95,1.09,1.01,0.82
f_0,1.66,1.29,1.61,1.62,1.65,1.38,1.29,0.92,0.95,1.09,1.0,0.85,0.99,0.86,1.29,0.76
b_0,1.63,1.37,1.57,2.08,1.63,1.1,1.18,1.11,1.13,0.7,1.18,1.0,0.98,1.5,0.83,0.91
h_0,2.08,1.61,1.63,1.72,1.37,1.26,1.31,1.56,1.13,1.03,1.03,1.05,1.0,0.96,0.8,1.15
a_0,1.66,1.58,1.91,1.8,2.03,1.45,1.3,1.07,1.03,0.91,1.17,0.71,1.04,1.0,1.01,1.02
e_0,2.01,1.56,1.65,1.58,1.66,1.53,1.4,1.05,1.46,1.0,0.81,1.2,1.29,1.03,1.0,0.81
g_0,1.82,1.64,2.28,1.86,1.78,1.43,1.07,1.36,1.11,1.22,1.32,1.09,0.88,1.01,1.17,1.0
