,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.28,0.88,1.07,0.81,0.72,0.39,0.43,0.38,0.41,0.36,0.33,0.31,0.27,0.24,0.33
e_1,0.78,1.0,0.88,1.05,1.08,0.76,0.54,0.48,0.44,0.6,0.43,0.41,0.41,0.37,0.4,0.34
d_1,1.12,1.12,1.0,0.92,0.85,0.78,0.48,0.37,0.55,0.43,0.44,0.4,0.33,0.33,0.31,0.25
c_1,0.95,0.95,1.08,1.0,1.32,0.72,0.47,0.38,0.36,0.31,0.34,0.34,0.34,0.36,0.27,0.32
b_1,1.23,0.93,1.19,0.77,1.0,1.12,0.51,0.51,0.53,0.47,0.44,0.39,0.34,0.44,0.44,0.37
a_1,1.37,1.3,1.29,1.4,0.88,1.0,0.79,0.67,0.58,0.6,0.63,0.49,0.47,0.48,0.46,0.45
h_1,2.53,1.9,2.13,2.12,1.98,1.33,1.0,1.16,0.86,0.8,0.89,0.7,0.61,0.7,0.6,0.75
g_1,2.5,2.1,2.69,2.52,1.92,1.56,0.87,1.0,0.81,0.85,0.88,0.97,0.71,0.61,0.81,0.69
c_0,2.7,2.31,1.81,2.7,1.73,1.54,1.2,1.29,1.0,1.14,1.35,0.85,0.91,0.87,0.85,0.74
d_0,2.35,1.67,2.22,3.2,2.18,1.68,1.25,1.16,0.81,1.0,0.96,0.86,0.77,0.82,0.68,0.87
b_0,2.76,2.33,2.41,3.01,2.07,1.61,1.17,1.12,0.76,1.03,1.0,0.94,1.29,0.88,0.78,0.71
f_0,2.98,2.49,2.57,3.1,2.41,1.97,1.36,1.04,1.15,1.15,1.02,1.0,0.94,1.03,1.23,0.71
a_0,3.18,2.5,2.95,2.86,3.14,1.96,1.64,1.38,1.08,1.19,0.82,1.02,1.0,1.19,0.98,0.89
h_0,3.81,2.77,3.02,2.79,2.18,2.17,1.42,1.62,1.16,1.25,1.15,0.98,0.86,1.0,0.91,1.05
e_0,4.26,2.44,3.17,3.59,2.41,2.16,1.71,1.34,1.25,1.46,1.28,0.82,1.01,0.99,1.0,0.96
g_0,2.94,2.79,4.29,3.02,2.71,2.17,1.33,1.53,1.38,1.15,1.28,1.49,1.19,0.91,0.97,1.0
