,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.11,5.14,5.35,4.26,4.36,4.17,1.21,2.56,0.86,0.79,0.91,0.72,0.66,0.81,0.84,0.38
f_1,3.79,1.12,4.24,5.07,4.71,3.44,0.91,1.08,0.92,1.53,0.93,1.9,0.49,0.89,0.87,0.74
e_1,5.36,2.55,1.12,5.26,5.54,5.02,1.53,1.14,1.02,1.88,1.12,1.2,0.81,1.03,1.5,1.0
c_1,6.98,4.75,4.16,1.12,4.52,4.59,1.37,0.55,1.74,1.42,0.95,0.89,0.72,1.01,1.1,0.78
b_1,6.23,7.1,5.74,2.96,1.13,8.04,1.7,1.18,1.46,1.44,3.05,1.05,0.87,1.4,1.02,0.82
a_1,7.15,8.7,8.19,10.97,3.98,1.14,2.14,1.41,1.63,2.4,2.06,2.31,1.02,3.64,1.97,1.19
h_1,13.26,13.98,17.18,15.39,14.6,13.97,1.77,3.35,2.77,4.56,2.93,3.1,3.46,2.73,2.95,2.64
d_0,34.91,17.36,9.36,19.89,16.8,18.79,6.38,2.19,4.2,6.63,4.36,5.18,3.12,3.78,4.13,3.98
c_0,9.9,19.05,20.07,33.01,22.86,19.5,5.54,5.33,2.23,5.88,3.5,3.31,2.73,3.54,3.35,2.97
g_1,17.99,19.47,19.15,21.07,19.92,18.62,4.67,4.15,3.87,1.8,3.87,3.62,1.85,3.74,3.54,3.84
b_0,16.71,22.45,22.19,33.35,33.2,20.26,6.33,4.05,2.42,5.45,2.09,3.74,2.72,3.78,4.77,2.84
f_0,21.37,40.05,24.11,24.08,23.84,21.31,6.58,5.63,4.08,3.92,4.52,2.2,3.41,5.04,4.43,2.17
h_0,27.98,27.53,26.39,28.09,30.32,24.03,12.29,5.87,5.5,7.61,4.94,5.86,6.61,5.04,4.59,4.23
a_0,24.15,35.96,31.32,30.5,52.62,60.79,9.84,5.68,4.91,12.64,3.42,6.2,4.14,2.41,5.72,4.78
e_0,28.9,49.63,51.55,31.39,34.86,37.58,8.2,8.25,6.91,8.17,7.08,3.1,4.47,5.54,2.51,3.79
g_0,37.51,44.61,35.27,39.05,41.63,36.91,8.71,7.29,7.44,13.96,7.17,7.81,3.85,8.02,5.39,6.6
