,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.35,1.18,0.92,0.74,0.7,0.72,1.48,1.37,1.29,1.62,1.49,0.63,1.71,1.27,1.72,1.43
e_1,0.81,2.36,0.72,0.57,0.74,0.7,1.5,2.88,1.74,1.59,1.99,1.93,2.27,1.08,2.28,2.09
c_1,0.7,0.78,2.51,0.88,1.35,0.81,1.42,1.36,1.42,0.64,1.26,1.48,1.86,1.38,1.43,2.29
d_1,0.84,0.87,0.6,2.66,0.66,0.59,1.62,0.75,1.33,2.89,1.92,1.5,2.47,1.98,1.56,2.07
b_1,0.77,0.73,0.59,0.87,2.74,1.48,1.26,1.77,1.39,1.69,0.81,1.99,2.17,1.93,1.28,2.04
a_1,0.82,0.78,0.75,0.96,0.52,3.22,1.47,2.03,1.5,1.52,1.8,1.82,2.47,2.06,0.93,2.27
h_1,1.27,0.95,1.02,0.96,1.1,0.85,3.85,2.0,2.41,2.16,1.93,2.06,1.61,2.43,1.92,2.9
d_0,1.23,0.73,1.79,0.64,0.84,0.72,2.1,3.54,2.29,2.16,2.44,2.1,2.98,2.67,2.52,3.07
g_1,1.05,0.73,0.94,1.46,1.13,0.86,1.73,1.96,4.37,2.43,2.26,2.95,2.24,2.45,2.31,1.29
c_0,1.27,1.02,0.93,1.03,0.77,0.87,1.91,2.25,1.98,3.86,4.41,2.65,2.74,2.19,2.84,2.75
b_0,1.18,0.99,1.14,1.03,0.68,0.91,2.54,2.31,2.0,1.85,4.17,2.53,2.5,2.6,4.01,2.97
f_0,0.7,0.92,1.27,1.09,1.1,1.08,2.2,2.66,1.96,1.93,2.45,4.34,2.81,3.85,2.11,2.95
h_0,1.22,0.9,1.2,1.03,1.01,0.97,1.06,2.18,2.41,2.59,2.29,2.1,2.0,2.86,2.04,3.73
e_0,1.18,0.37,1.61,0.85,1.13,0.95,2.27,1.92,1.87,2.54,2.13,2.46,2.85,4.73,2.01,3.23
a_0,0.99,0.87,1.28,0.96,1.12,0.71,2.33,2.34,2.19,2.04,2.12,2.42,3.14,2.37,4.86,3.44
g_0,0.84,0.9,1.09,1.4,1.19,0.85,1.97,2.1,1.21,2.04,1.95,3.35,2.28,2.64,1.74,1.77
