,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.25,0.27,0.19,0.22,0.15,0.14,0.42,0.35,0.89,0.54,0.5,0.45,0.36,0.54,0.49,0.17
f_1,0.39,2.26,0.26,0.22,0.16,0.16,0.46,0.34,0.42,0.38,0.53,0.12,0.4,0.44,0.53,0.23
d_1,0.22,0.24,2.34,0.17,0.22,0.18,0.45,0.37,0.09,0.97,0.52,0.41,0.41,0.64,0.46,0.26
c_1,0.24,0.26,0.19,2.38,0.39,0.11,0.39,0.37,0.45,0.08,0.31,0.45,0.35,0.69,0.47,0.4
b_1,0.26,0.26,0.24,0.21,2.6,0.28,0.34,0.33,0.42,0.33,0.05,0.51,0.32,0.58,0.39,0.33
a_1,0.19,0.2,0.24,0.26,0.2,3.17,0.46,0.38,0.49,0.55,0.45,0.36,0.09,0.7,0.47,0.52
h_1,0.39,0.54,0.34,0.41,0.36,0.17,2.79,0.82,0.79,0.73,0.88,0.87,0.61,0.45,1.08,0.77
g_1,0.38,0.23,0.6,0.46,0.32,0.3,0.78,2.95,0.63,0.81,0.71,1.29,0.56,0.7,0.43,0.7
d_0,0.37,0.4,0.17,0.84,0.32,0.26,0.69,0.73,2.3,0.65,0.77,0.92,0.5,0.99,0.91,0.76
c_0,0.42,0.49,0.5,0.17,0.27,0.32,0.63,0.74,0.74,2.32,1.47,1.03,0.82,1.09,1.07,0.56
b_0,0.37,0.48,0.35,0.41,0.13,0.36,0.7,0.86,0.9,0.82,2.5,0.99,1.38,1.14,1.03,0.65
f_0,0.34,0.15,0.48,0.49,0.25,0.32,0.97,0.92,1.01,0.75,0.94,2.42,0.86,1.25,0.98,1.62
a_0,0.35,0.46,0.55,0.42,0.3,,0.92,0.79,0.96,0.77,1.01,0.79,2.82,0.76,1.1,0.8
h_0,0.33,0.61,0.46,0.38,0.34,0.3,0.27,0.83,0.7,0.8,0.72,0.53,0.84,0.4,1.31,0.59
g_0,0.43,0.31,0.6,0.32,0.37,0.3,0.55,0.46,0.91,0.85,0.72,1.39,0.75,1.2,0.48,0.66
e_0,0.09,0.55,0.4,0.45,0.49,0.3,0.72,0.77,1.09,0.84,0.88,0.83,0.52,1.26,0.92,2.79
