,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.2,1.0,1.03,1.06,0.86,0.79,1.03,0.92,0.81,0.92,0.85,0.84,0.77,1.12,0.76
e_1,0.84,1.0,0.98,1.04,1.01,0.94,1.21,1.08,1.49,1.08,1.16,1.27,1.09,1.07,1.09,1.1
d_1,1.01,1.03,1.0,0.96,0.91,1.04,0.98,0.78,0.96,1.35,1.16,0.99,0.95,1.11,0.82,1.16
c_1,0.97,0.96,1.03,1.0,1.34,0.92,0.94,0.9,0.69,0.79,0.81,0.92,0.94,0.96,0.96,0.84
b_1,0.95,0.99,1.08,0.74,1.0,1.39,1.1,1.13,1.07,0.96,0.83,1.14,0.95,1.08,1.02,1.13
a_1,1.16,1.07,0.95,1.09,0.71,1.0,1.24,1.14,0.98,1.07,0.98,0.91,1.43,1.25,0.97,1.02
h_1,1.21,0.81,1.03,1.03,0.92,0.83,1.0,1.23,1.02,1.01,0.94,0.91,0.9,1.05,1.15,1.03
g_1,0.97,0.98,1.29,1.13,0.89,0.91,0.8,1.0,0.72,0.9,0.95,1.1,0.82,0.85,1.11,0.93
d_0,1.04,0.69,1.12,1.42,1.0,1.0,0.97,1.3,1.0,0.87,0.93,0.94,1.03,1.04,0.97,0.94
c_0,1.2,0.96,0.73,1.19,0.98,0.95,0.94,1.18,1.19,1.0,1.57,1.09,1.18,1.1,1.07,0.98
b_0,1.1,0.9,0.88,1.21,1.34,0.95,1.07,1.03,1.07,0.64,1.0,0.87,1.59,1.13,1.13,0.99
f_0,1.17,0.82,1.01,1.06,0.88,1.05,1.14,0.87,1.06,0.94,1.13,1.0,1.07,0.99,0.85,1.86
a_0,1.14,0.89,1.02,1.04,1.13,0.82,1.09,1.16,0.92,0.81,0.74,0.95,1.0,1.01,0.96,0.75
h_0,1.32,1.0,0.96,0.98,0.91,0.75,0.96,1.21,0.96,0.9,0.88,0.99,0.99,1.0,1.13,1.01
g_0,0.96,0.92,1.18,1.02,0.99,1.0,0.86,0.92,1.01,0.89,0.91,1.25,1.06,0.91,1.0,1.05
e_0,1.29,0.97,0.92,1.21,0.88,0.92,0.92,1.03,0.96,0.99,0.97,0.52,1.29,1.07,0.98,1.0
