,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.01,0.05,0.1,0.11,0.13,0.18,0.21,0.28,0.3,0.27,0.27,0.33,0.29,0.37,0.58,
f_1,0.12,0.01,0.1,0.11,0.1,0.19,0.14,0.21,0.22,0.21,0.27,,0.21,0.38,0.27,0.51
d_1,0.06,0.06,0.01,0.07,0.08,0.12,0.13,0.11,,0.18,0.17,0.16,0.19,0.3,0.17,0.34
c_1,0.06,0.06,0.07,0.01,0.11,0.1,0.13,0.17,0.08,,0.16,0.15,0.21,0.22,0.2,0.27
b_1,0.03,0.04,0.04,0.02,,0.08,0.09,0.11,0.06,0.09,,0.14,0.09,0.15,0.16,0.17
a_1,0.01,0.01,0.01,0.01,0.01,,0.03,0.02,0.02,0.03,0.04,0.04,0.05,,,
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
