,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.45,1.05,1.14,1.68,1.22,1.16,2.66,4.35,2.23,2.32,3.02,3.23,3.29,2.51,2.63,3.35
f_1,2.11,2.51,1.07,0.97,1.03,0.98,2.04,2.53,2.27,2.87,1.86,2.41,3.12,1.91,3.19,2.94
d_1,1.13,1.42,2.57,1.04,1.24,1.12,2.36,1.81,2.28,4.18,2.64,2.98,3.13,2.87,2.53,2.93
c_1,0.93,1.23,1.23,2.56,2.13,1.18,2.46,2.22,2.05,1.43,2.74,1.96,3.37,2.6,2.2,3.43
b_1,1.13,1.22,1.27,1.05,2.73,2.26,2.33,2.59,2.15,2.7,2.65,2.04,3.51,2.92,2.2,3.46
a_1,1.19,1.61,1.35,1.31,0.91,3.23,2.23,2.8,2.46,2.03,2.54,2.93,3.94,3.32,2.6,3.26
h_1,1.18,1.78,1.47,1.34,1.25,1.22,4.03,2.5,3.56,2.79,2.86,2.85,2.72,2.94,3.18,4.82
d_0,1.06,1.25,1.09,2.23,1.42,1.27,2.85,3.87,2.84,2.1,3.15,3.2,3.46,3.17,3.64,4.0
g_1,1.25,1.27,1.86,1.45,1.33,1.38,2.25,2.27,4.41,2.83,4.26,2.48,3.12,2.84,2.83,2.99
c_0,1.54,1.4,1.36,1.18,0.96,1.53,2.79,3.5,2.54,4.09,3.08,4.92,3.66,2.93,3.86,4.14
f_0,1.07,1.15,1.49,1.58,1.48,1.39,2.69,2.86,2.56,2.81,4.32,3.01,3.52,5.4,3.32,3.37
b_0,1.29,1.68,1.24,1.72,0.86,0.89,2.84,2.93,3.13,2.4,2.8,4.47,3.65,3.51,5.93,3.96
h_0,1.29,1.68,1.43,1.36,1.19,1.32,2.42,3.05,3.37,2.78,2.92,2.97,3.11,2.78,2.95,4.45
e_0,1.08,1.69,1.28,1.49,1.15,1.24,3.06,2.95,3.13,3.04,2.42,3.02,4.82,5.18,4.2,4.1
a_0,1.49,1.31,1.47,1.57,1.33,0.89,2.95,2.84,3.17,3.1,2.76,2.65,3.51,2.5,4.9,3.55
g_0,1.17,1.31,1.99,1.25,1.35,1.25,2.32,2.52,2.23,3.19,4.34,2.71,3.33,3.0,3.64,3.17
