,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.9,0.39,0.19,0.22,0.17,0.1,0.2,0.21,0.15,0.16,0.16,0.06,0.16,0.08,0.08,0.12
e_1,0.29,0.9,0.18,0.24,0.14,0.13,0.2,0.38,0.14,0.18,0.15,0.15,0.17,0.12,0.08,0.13
d_1,0.29,0.23,0.89,0.13,0.16,0.13,0.2,0.1,0.16,0.39,0.2,0.15,0.2,0.16,0.15,0.14
c_1,0.24,0.21,0.2,0.89,0.33,0.1,0.2,0.22,0.13,0.07,0.13,0.13,0.19,0.11,0.1,0.11
b_1,0.2,0.24,0.25,0.21,0.88,0.27,0.2,0.18,0.14,0.16,0.07,0.13,0.13,0.07,0.08,0.14
a_1,0.26,0.22,0.25,0.21,0.16,0.87,0.19,0.18,0.16,0.2,0.17,0.19,0.2,0.08,0.14,0.17
h_1,0.42,0.23,0.3,0.25,0.18,0.13,0.59,0.25,0.29,0.23,0.2,0.15,0.15,0.14,0.17,0.22
d_0,0.33,0.28,0.12,0.5,0.21,0.12,0.24,0.45,0.16,0.17,0.17,0.19,0.22,0.12,0.16,0.18
g_1,0.26,0.24,0.42,0.24,0.22,0.13,0.2,0.21,0.55,0.21,0.25,0.32,0.2,0.16,0.15,0.13
c_0,0.32,0.23,0.31,0.18,0.18,0.15,0.28,0.21,0.28,0.47,0.41,0.2,0.24,0.2,0.16,0.2
b_0,0.31,0.31,0.32,0.27,0.1,0.1,0.29,0.26,0.23,0.22,0.41,0.2,0.2,0.34,0.18,0.17
f_0,0.19,0.22,0.36,0.27,0.25,0.14,0.22,0.22,0.23,0.25,0.23,0.4,0.26,0.16,0.33,0.19
h_0,0.38,0.25,0.27,0.25,0.21,0.18,0.16,0.24,0.23,0.23,0.22,0.18,0.16,0.15,0.17,0.22
a_0,0.32,0.27,0.32,0.29,0.22,0.06,0.28,0.24,0.19,0.27,0.22,0.19,0.22,0.37,0.13,0.17
e_0,0.3,0.14,0.32,0.25,0.28,0.15,0.3,0.29,0.24,0.26,0.23,0.2,0.24,0.12,0.41,0.28
g_0,0.23,0.21,0.45,0.25,0.22,0.14,0.27,0.2,0.18,0.22,0.21,0.32,0.21,0.17,0.16,0.14
