,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.12,2.84,5.02,5.91,4.74,5.67,1.51,1.06,1.47,1.0,0.79,0.91,0.69,2.52,1.02,0.92
f_1,4.94,1.13,4.84,4.84,5.58,3.95,1.02,1.13,1.79,0.9,0.93,1.74,0.54,0.75,0.87,0.82
d_1,6.84,6.29,1.12,5.87,5.94,5.13,1.51,3.43,0.97,0.92,0.96,1.08,0.74,1.2,0.94,0.52
c_1,4.46,6.1,7.08,1.13,6.62,5.92,1.61,0.62,1.9,2.76,1.42,1.39,0.87,1.04,1.04,0.63
b_1,6.72,6.6,7.08,3.53,1.13,7.76,1.79,1.44,2.06,1.76,5.56,1.49,1.36,1.41,2.13,0.95
a_1,10.77,11.23,11.7,10.03,4.86,1.14,3.33,2.56,2.75,2.73,2.89,1.99,1.73,2.54,7.06,2.14
h_1,17.55,21.54,18.44,18.63,17.86,15.02,1.83,4.69,6.15,3.76,4.07,3.07,5.18,3.43,3.82,2.63
d_0,11.17,24.41,38.86,27.86,22.09,20.41,6.89,2.28,7.18,6.05,4.62,4.29,3.0,3.57,4.49,3.75
g_1,23.4,28.6,21.19,23.32,23.92,23.77,4.89,5.35,1.84,4.81,5.24,3.96,2.54,5.15,3.95,4.92
c_0,29.78,24.57,11.45,66.98,27.83,17.72,7.54,6.39,6.21,2.3,4.82,4.77,3.09,4.55,4.55,3.49
b_0,24.57,23.62,20.53,33.14,65.77,27.62,8.16,6.45,8.28,3.05,2.37,5.31,3.83,5.47,4.61,4.62
f_0,29.34,63.12,23.65,32.79,27.83,26.83,9.1,5.15,4.49,5.99,6.11,2.43,3.98,4.49,6.38,2.61
h_0,31.96,37.36,32.0,37.48,28.94,36.12,15.84,7.58,9.5,7.38,7.24,7.15,9.2,7.45,5.82,5.56
e_0,53.12,61.02,34.36,52.47,48.23,36.82,11.15,8.52,10.09,8.04,7.86,4.02,5.83,2.54,7.22,5.36
a_0,40.95,44.11,38.4,56.21,57.88,98.84,13.42,9.58,9.1,7.65,3.87,11.98,6.79,9.72,2.7,6.38
g_0,49.14,58.11,46.63,44.97,47.44,41.73,11.65,9.86,25.84,10.24,12.5,9.72,5.11,8.75,10.06,10.34
