,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,10.41,0.76,0.59,0.99,0.69,0.67,0.94,0.89,2.31,0.83,0.95,0.94,0.98,0.9,0.95,0.77
f_1,1.88,10.38,0.62,0.71,0.55,0.53,0.95,0.83,1.0,0.79,0.94,0.64,0.79,0.83,0.95,0.66
d_1,0.58,0.81,13.55,0.5,0.65,0.67,0.96,1.15,0.57,2.65,1.5,1.34,1.06,1.02,1.1,1.03
c_1,0.56,0.61,0.73,10.93,1.71,0.82,0.81,0.93,0.87,0.53,0.56,0.82,1.02,0.92,0.94,0.87
b_1,0.59,0.66,0.71,0.72,12.73,1.58,0.91,0.76,0.82,1.01,0.65,0.84,1.03,0.9,0.65,1.1
a_1,0.62,0.76,0.71,0.73,0.71,18.03,1.13,1.12,0.92,0.74,0.91,0.95,1.11,1.1,0.73,1.04
h_1,0.72,1.13,0.85,0.8,0.69,0.68,3.25,1.3,0.82,0.93,1.12,1.22,0.75,1.68,1.12,1.31
g_1,0.71,0.67,1.73,0.67,0.66,0.78,0.96,3.84,0.57,1.06,1.17,2.08,1.13,0.93,1.13,1.42
d_0,0.69,0.86,0.6,2.12,0.81,0.69,0.98,0.92,1.87,0.65,1.02,0.96,1.21,1.07,1.01,1.28
c_0,0.76,0.87,0.99,0.61,0.59,0.69,1.24,1.01,1.05,2.21,3.72,1.17,1.11,1.38,1.56,1.21
b_0,0.84,0.85,1.02,0.82,0.66,0.63,1.15,1.07,0.84,0.94,2.33,1.05,1.19,1.27,2.9,1.18
f_0,0.55,0.6,1.05,0.91,0.78,1.1,1.03,1.15,0.99,1.26,1.25,2.96,1.22,1.53,1.28,2.98
h_0,0.81,1.61,0.86,0.74,0.66,0.72,0.75,1.41,0.89,0.99,1.0,1.06,0.82,1.42,1.0,1.02
g_0,0.67,0.73,1.93,0.84,0.64,0.6,1.06,0.8,0.76,1.03,1.06,2.0,1.17,1.0,0.99,1.12
a_0,0.88,0.89,0.76,1.03,0.69,0.7,0.99,0.88,1.02,1.05,1.23,1.03,1.27,1.06,3.06,1.05
e_0,0.46,0.78,1.03,1.09,0.79,0.83,1.29,1.01,0.95,1.05,1.21,1.25,1.1,1.2,1.2,3.04
