,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.9,0.22,0.23,0.15,0.18,0.11,0.2,0.16,0.38,0.12,0.24,0.18,0.23,0.19,0.12,0.1
e_1,0.19,0.89,0.23,0.25,0.18,0.13,0.2,0.15,0.22,0.36,0.2,0.17,0.18,0.16,0.11,0.06
f_1,0.23,0.41,0.89,0.21,0.14,0.11,0.2,0.13,0.15,0.18,0.17,0.08,0.17,0.13,0.1,0.09
c_1,0.21,0.19,0.22,0.9,0.34,0.11,0.19,0.15,0.08,0.18,0.09,0.12,0.21,0.16,0.11,0.13
b_1,0.23,0.22,0.24,0.2,0.88,0.25,0.16,0.14,0.15,0.18,0.09,0.14,0.2,0.16,0.07,0.11
a_1,0.26,0.24,0.22,0.21,0.17,0.88,0.18,0.15,0.21,0.18,0.18,0.18,0.21,0.13,0.07,0.1
h_1,0.31,0.2,0.35,0.21,0.23,0.14,0.58,0.28,0.26,0.22,0.2,0.19,0.15,0.26,0.15,0.16
g_1,0.5,0.21,0.26,0.21,0.2,0.14,0.2,0.57,0.2,0.14,0.19,0.25,0.21,0.12,0.15,0.15
c_0,0.33,0.29,0.32,0.17,0.15,0.13,0.25,0.21,0.45,0.24,0.45,0.21,0.28,0.21,0.18,0.14
d_0,0.16,0.25,0.31,0.5,0.2,0.13,0.26,0.18,0.17,0.44,0.19,0.2,0.25,0.22,0.14,0.14
b_0,0.31,0.29,0.32,0.28,0.12,0.09,0.26,0.19,0.24,0.29,0.45,0.17,0.28,0.2,0.34,0.14
f_0,0.36,0.27,0.19,0.3,0.2,0.13,0.25,0.2,0.24,0.25,0.23,0.43,0.28,0.2,0.14,0.28
h_0,0.3,0.28,0.41,0.28,0.19,0.11,0.15,0.26,0.22,0.23,0.22,0.15,0.15,0.28,0.12,0.15
g_0,0.41,0.26,0.26,0.23,0.18,0.16,0.22,0.13,0.26,0.23,0.2,0.34,0.22,0.13,0.14,0.15
a_0,0.3,0.25,0.3,0.32,0.24,0.05,0.22,0.22,0.21,0.21,0.21,0.21,0.31,0.23,0.4,0.14
e_0,0.35,0.15,0.33,0.25,0.23,0.14,0.26,0.2,0.24,0.23,0.24,0.2,0.28,0.2,0.15,0.39
