,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.79,0.55,0.47,0.65,0.5,0.55,0.89,0.7,2.15,0.82,1.01,1.13,1.1,1.05,0.45,0.89
f_1,1.07,17.62,0.48,0.54,0.45,0.39,0.64,0.74,0.72,0.83,1.03,0.35,0.87,1.05,0.76,0.98
d_1,0.5,0.65,20.08,0.34,0.48,0.57,1.15,1.03,0.38,1.96,1.13,0.9,1.05,0.97,0.94,0.99
c_1,0.45,0.44,0.53,20.32,1.25,0.51,0.68,0.72,0.89,0.29,0.62,0.82,0.91,0.77,1.03,0.94
b_1,0.47,0.52,0.51,0.6,21.29,1.15,0.87,0.95,0.78,0.84,0.23,0.81,0.95,0.78,0.97,0.82
a_1,0.45,0.54,0.59,0.47,0.5,31.85,0.99,1.04,0.85,1.01,1.0,1.38,0.91,0.37,0.99,0.87
h_1,0.52,1.07,0.79,0.76,0.57,0.58,5.73,1.41,0.88,1.14,1.1,0.98,0.66,0.91,1.28,1.78
g_1,0.57,0.49,1.46,0.61,0.63,0.8,0.9,7.05,0.74,1.17,1.32,2.09,1.06,0.99,1.21,0.71
d_0,0.58,0.71,0.35,1.81,0.6,0.62,1.07,0.8,3.48,0.91,1.18,1.41,1.29,1.09,1.42,1.33
c_0,0.76,0.71,0.81,0.47,0.43,0.62,1.53,1.21,1.27,3.45,3.74,1.76,1.15,1.3,1.39,1.31
b_0,0.69,0.87,0.76,0.81,0.32,0.41,1.11,1.15,1.12,1.09,4.39,1.32,1.54,3.12,1.44,1.45
f_0,0.53,0.27,0.81,0.93,0.72,0.78,1.28,1.19,1.06,1.09,1.73,4.27,1.19,0.98,3.29,1.25
h_0,0.58,1.31,0.69,0.63,0.59,0.79,0.65,1.5,1.17,1.11,0.97,1.22,0.67,1.06,1.08,1.74
a_0,0.66,0.83,0.85,1.04,0.53,0.24,1.38,1.01,1.24,1.31,1.04,0.77,1.44,5.67,1.1,1.21
e_0,0.29,0.49,1.05,0.86,0.88,0.54,2.09,1.91,1.01,1.24,1.12,1.35,1.34,1.4,5.79,1.25
g_0,0.6,0.72,1.56,0.51,0.77,0.58,1.13,0.83,0.92,1.08,1.05,1.85,1.2,1.17,1.11,0.77
