,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,1.01,1.22,1.17,2.93,16.52,32.73,26.77,43.22,37.14,38.75,78.86,90.75,113.66,111.93
f_1,1.28,1.0,1.02,1.11,1.2,3.28,12.6,27.27,27.42,27.21,29.73,40.26,79.78,65.94,95.54,94.25
d_1,0.99,0.98,1.0,0.92,1.22,2.77,14.42,20.58,36.85,34.55,35.76,39.47,62.76,76.47,78.39,83.9
c_1,0.82,0.9,1.09,1.0,1.69,2.6,11.91,19.23,17.35,20.81,26.81,37.4,50.55,66.78,115.25,82.83
b_1,0.85,0.83,0.82,0.59,1.0,3.14,10.59,21.75,23.48,24.41,38.77,30.79,58.53,75.58,76.32,80.1
a_1,0.34,0.3,0.36,0.39,0.32,1.0,5.26,11.78,9.37,10.32,12.05,13.88,18.81,27.77,27.31,35.22
h_1,0.06,0.08,0.07,0.09,0.09,0.18,1.0,1.92,2.0,2.21,2.7,2.7,4.59,5.87,6.8,9.19
g_1,0.03,0.04,0.05,0.05,0.05,0.08,0.52,1.0,0.95,1.2,1.27,1.87,2.75,2.59,3.39,3.08
c_0,0.04,0.04,0.03,0.06,0.04,0.1,0.49,1.08,1.0,1.23,1.5,1.54,3.08,2.9,3.1,4.07
d_0,0.02,0.04,0.03,0.05,0.04,0.09,0.46,0.85,0.84,1.0,1.09,1.29,1.81,2.21,2.57,3.05
b_0,0.02,0.04,0.03,0.04,0.03,0.08,0.36,0.81,0.64,0.91,1.0,1.14,3.15,2.71,2.51,3.17
f_0,0.03,0.03,0.03,0.03,0.03,0.07,0.37,0.53,0.65,0.72,0.86,1.0,1.74,2.05,3.79,1.89
a_0,0.01,0.01,0.02,0.02,0.02,0.05,0.21,0.37,0.32,0.55,0.31,0.56,1.0,1.06,1.19,2.02
h_0,0.01,0.02,0.01,0.01,0.01,0.03,0.17,0.39,0.34,0.44,0.37,0.47,0.91,1.0,0.96,1.38
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.29,0.33,0.37,0.4,0.27,0.85,1.09,1.0,0.94
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.32,0.25,0.3,0.3,0.49,0.55,0.72,1.02,1.0
