,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,0.97,0.79,0.83,0.77,0.51,0.54,0.57,0.34,0.45,0.37,0.35,0.34,0.33,0.23
f_1,0.85,1.0,1.27,1.05,0.81,0.63,0.42,0.45,0.44,0.44,0.4,0.37,0.33,0.29,0.24,0.3
e_1,1.03,0.79,1.0,1.1,0.98,0.78,0.52,0.67,0.44,0.55,0.44,0.44,0.43,0.36,0.3,0.39
c_1,1.29,0.94,0.92,1.0,1.24,0.63,0.51,0.33,0.37,0.47,0.34,0.38,0.37,0.36,0.37,0.36
b_1,1.19,1.22,1.03,0.81,1.0,1.46,0.58,0.53,0.45,0.47,0.5,0.42,0.38,0.34,0.37,0.31
a_1,1.29,1.61,1.28,1.57,0.69,1.0,0.64,0.5,0.54,0.61,0.58,0.63,0.47,0.49,0.45,0.45
h_1,1.96,2.36,1.95,1.94,1.73,1.48,1.0,0.85,0.82,1.05,0.75,0.79,0.74,0.6,0.68,0.74
d_0,1.94,2.08,1.46,3.09,2.0,1.92,1.22,1.0,0.89,1.05,1.07,0.97,0.88,0.77,0.72,0.86
c_0,1.79,2.38,2.33,2.52,2.13,1.81,1.23,1.13,1.0,1.12,1.23,0.88,0.8,0.87,0.67,0.77
g_1,2.84,2.2,1.88,2.33,2.15,1.59,0.98,0.95,0.94,1.0,0.87,1.14,0.66,0.67,0.77,0.72
b_0,2.15,2.64,2.31,2.9,1.96,1.58,1.39,0.96,0.8,1.14,1.0,0.96,0.92,1.1,0.97,0.76
f_0,2.76,2.5,2.32,2.51,2.5,1.57,1.22,1.1,1.1,0.93,1.03,1.0,0.98,0.91,1.23,0.62
h_0,2.85,3.22,2.37,2.65,2.66,2.01,1.36,1.16,1.22,1.48,1.09,1.06,1.0,0.91,0.82,1.04
a_0,2.87,3.16,2.84,2.89,3.1,2.07,1.69,1.21,1.13,1.53,0.94,1.04,1.08,1.0,0.96,0.97
e_0,2.99,3.91,3.29,2.71,2.93,2.17,1.35,1.45,1.52,1.27,1.17,0.84,1.23,1.04,1.0,0.99
g_0,4.21,3.34,2.46,3.03,3.42,2.45,1.36,1.15,1.37,1.41,1.29,1.64,0.94,1.07,1.04,1.0
