,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.35,1.4,0.79,0.78,0.7,0.52,1.36,1.37,1.34,1.57,1.58,0.88,2.09,1.25,0.91,1.58
e_1,0.95,2.37,0.67,0.96,0.79,0.64,1.56,1.67,1.4,3.25,1.6,1.58,2.05,1.47,0.92,1.94
d_1,0.89,0.84,2.45,0.6,0.79,0.63,1.73,3.18,1.35,1.17,2.11,2.12,2.25,1.55,1.6,2.02
c_1,0.78,0.76,0.81,2.48,1.43,0.56,1.29,0.8,1.24,1.47,1.17,1.75,1.93,1.43,1.33,1.86
b_1,0.81,0.71,0.96,0.79,2.53,1.27,1.66,1.4,1.22,1.49,1.12,1.51,2.08,1.02,1.42,2.18
a_1,0.9,0.73,0.9,1.0,0.63,3.09,1.73,1.87,1.45,1.65,1.71,1.68,2.18,0.99,1.25,1.98
h_1,1.22,0.87,1.06,0.79,0.84,0.63,3.29,1.68,1.82,1.75,1.8,1.79,1.71,1.31,1.32,2.81
c_0,1.1,0.93,1.03,0.79,0.69,0.67,1.68,3.27,1.33,1.7,3.55,1.81,2.43,1.99,1.75,1.94
g_1,0.82,0.81,1.39,0.84,0.81,0.75,1.57,2.13,3.62,1.6,1.59,2.78,2.45,1.75,1.66,1.53
d_0,1.06,0.88,0.54,1.7,0.78,0.7,1.27,1.43,1.31,2.92,1.68,1.58,2.21,1.71,1.25,1.85
b_0,1.07,0.95,1.01,0.96,0.65,0.42,1.26,2.01,1.83,2.14,3.3,1.71,2.82,3.37,1.67,2.2
f_0,0.74,0.79,0.99,1.07,1.06,0.73,1.65,1.84,1.56,1.84,1.95,3.19,2.57,1.84,3.27,1.93
h_0,1.24,0.84,0.93,0.97,0.81,0.72,1.24,1.85,1.94,1.88,1.88,1.54,1.73,1.59,1.41,2.81
a_0,1.13,0.9,0.95,0.99,0.97,0.42,2.04,1.94,1.44,2.08,1.77,1.94,2.63,3.47,1.59,2.27
e_0,0.95,0.69,0.91,1.02,1.1,0.66,1.89,1.82,1.68,1.84,1.87,1.65,2.42,1.73,3.7,2.47
g_0,0.87,0.8,1.47,0.96,0.81,0.61,1.64,1.86,1.17,1.53,1.53,2.83,1.92,1.43,1.67,1.67
