,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.43,1.08,1.08,1.18,1.07,1.03,0.24,0.33,0.27,0.23,0.35,0.23,0.12,0.23,0.21,0.19
e_1,0.72,0.43,1.23,1.28,1.16,1.16,0.37,0.36,0.27,0.24,0.33,0.31,0.17,0.26,0.43,0.19
d_1,1.32,1.45,0.42,1.15,1.13,0.98,0.32,0.22,0.48,0.22,0.21,0.2,0.15,0.19,0.22,0.11
c_1,1.22,1.0,1.56,0.4,1.3,1.4,0.35,0.33,0.14,0.35,0.25,0.24,0.19,0.26,0.24,0.17
b_1,1.49,1.23,1.59,0.77,0.37,1.36,0.42,0.44,0.27,0.39,0.26,0.48,0.24,0.26,0.26,0.19
a_1,1.96,1.78,1.99,1.83,0.75,0.31,0.44,0.5,0.33,0.42,0.35,0.5,0.26,0.58,0.31,0.24
h_1,2.24,2.25,2.11,2.23,1.82,1.69,0.3,0.62,0.49,0.42,0.41,0.48,0.45,0.37,0.36,0.33
g_1,2.5,2.39,2.23,2.37,2.19,1.93,0.55,0.29,0.51,0.53,0.5,0.51,0.24,0.47,0.44,0.42
d_0,2.42,1.44,3.4,2.84,2.39,3.07,0.71,0.78,0.33,0.54,0.53,0.52,0.35,0.53,0.41,0.45
c_0,2.76,2.61,1.38,4.61,3.05,2.47,0.95,0.68,0.92,0.31,0.5,0.57,0.38,0.52,0.53,0.31
f_0,3.78,2.38,2.25,2.33,2.82,2.37,0.84,0.55,0.53,0.53,0.3,0.49,0.38,0.58,0.46,0.23
b_0,2.67,2.51,1.99,3.97,4.55,2.23,0.88,0.81,0.62,0.28,0.62,0.3,0.35,0.64,0.47,0.35
h_0,2.91,2.79,2.82,3.59,2.87,2.46,1.33,0.96,0.72,0.63,0.66,0.57,0.57,0.59,0.51,0.4
a_0,3.1,2.97,2.73,3.41,4.02,5.4,0.98,0.71,0.68,0.55,0.74,0.35,0.38,0.29,0.61,0.38
e_0,3.99,4.26,3.0,2.93,3.0,2.91,1.01,0.78,0.84,0.57,0.32,0.64,0.49,0.58,0.3,0.36
g_0,3.68,3.44,3.22,4.15,3.58,3.63,0.77,1.27,0.82,0.64,0.61,0.62,0.4,0.59,0.71,0.6
