,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.4,0.6,0.94,0.99,0.88,0.83,0.57,0.59,0.4,0.48,0.44,0.43,0.45,0.35,0.67,0.42
f_1,0.88,0.4,0.8,1.08,0.75,0.96,0.38,0.52,0.36,0.35,0.34,0.6,0.41,0.25,0.39,0.36
d_1,0.99,0.99,0.4,0.8,0.88,0.8,0.47,0.35,0.43,0.69,0.4,0.38,0.38,0.33,0.34,0.25
c_1,0.73,0.84,1.06,0.39,1.17,0.77,0.42,0.37,0.47,0.25,0.36,0.39,0.31,0.33,0.44,0.31
b_1,1.01,1.08,0.84,0.51,0.38,1.11,0.5,0.5,0.46,0.44,0.82,0.39,0.45,0.4,0.37,0.36
a_1,0.98,0.85,0.92,0.93,0.54,0.31,0.53,0.67,0.45,0.42,0.51,0.42,0.64,0.4,0.34,0.36
h_1,0.69,0.87,0.73,0.84,0.84,0.69,0.26,0.42,0.34,0.35,0.38,0.33,0.35,0.38,0.34,0.36
g_1,0.67,0.83,0.83,0.97,0.84,0.68,0.35,0.22,0.33,0.38,0.37,0.43,0.38,0.23,0.36,0.32
c_0,0.87,0.79,0.5,1.47,0.75,0.87,0.45,0.49,0.25,0.48,0.36,0.37,0.43,0.29,0.31,0.29
d_0,0.49,0.76,1.19,0.94,0.82,0.78,0.49,0.49,0.37,0.25,0.4,0.37,0.31,0.27,0.32,0.32
b_0,0.72,0.88,0.67,1.23,0.86,0.57,0.38,0.44,0.22,0.39,0.23,0.34,0.46,0.34,0.32,0.3
f_0,0.8,1.13,0.8,0.78,0.85,0.77,0.49,0.27,0.32,0.34,0.34,0.23,0.35,0.35,0.41,0.21
a_0,0.73,0.69,0.77,0.95,0.84,0.98,0.43,0.43,0.29,0.45,0.19,0.42,0.2,0.3,0.32,0.39
h_0,0.73,0.87,0.79,0.79,0.75,0.66,0.57,0.47,0.32,0.39,0.28,0.31,0.32,0.41,0.3,0.3
e_0,1.03,1.0,0.77,0.75,0.72,0.81,0.45,0.4,0.36,0.4,0.37,0.2,0.37,0.32,0.2,0.23
g_0,0.76,0.83,0.83,0.79,0.75,0.69,0.33,0.56,0.33,0.37,0.34,0.37,0.28,0.24,0.33,0.34
