,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.26,0.62,0.66,0.47,0.58,0.39,1.1,0.95,2.32,0.94,1.2,0.95,0.9,1.52,0.56,1.33
f_1,0.97,2.31,0.58,0.54,0.49,0.34,0.98,0.87,1.1,0.89,0.55,1.02,0.96,1.37,0.59,1.16
c_1,0.64,0.55,2.4,0.47,0.94,0.38,1.07,0.89,1.05,0.58,1.08,0.86,0.93,1.46,0.95,1.15
d_1,0.59,0.62,0.43,2.48,0.47,0.43,1.0,1.1,0.55,2.08,1.17,1.37,1.28,1.49,1.03,1.32
b_1,0.5,0.56,0.62,0.6,2.49,0.83,1.01,0.8,1.28,1.08,1.07,0.62,0.71,1.31,0.96,1.46
a_1,0.51,0.68,0.63,0.58,0.57,3.17,1.22,0.87,1.2,1.21,1.08,0.98,0.41,1.31,1.16,1.05
h_1,0.78,1.0,0.65,0.67,0.59,0.52,3.06,1.53,1.4,1.16,1.24,1.19,0.98,1.09,1.15,1.85
g_1,0.68,0.58,0.71,1.16,0.55,0.5,1.18,3.29,1.04,1.44,1.88,1.36,1.16,1.61,1.14,0.97
d_0,0.65,0.82,1.42,0.35,0.61,0.47,1.3,1.1,2.59,0.9,1.27,1.12,1.08,1.57,0.89,1.49
c_0,0.73,0.88,0.46,0.75,0.54,0.45,1.39,1.41,1.31,2.9,1.41,2.89,1.41,1.64,1.13,1.65
f_0,0.71,0.53,0.75,0.67,0.66,0.55,1.41,1.26,1.66,1.33,2.96,1.59,1.59,1.89,2.48,1.44
b_0,0.82,0.85,0.79,0.84,0.3,0.35,1.42,1.57,1.25,1.6,1.34,3.2,2.54,1.77,1.15,1.57
a_0,0.79,0.8,0.68,0.66,0.59,0.33,1.49,1.44,1.28,1.49,1.77,1.25,3.32,1.94,1.33,1.34
h_0,0.66,1.08,0.69,0.76,0.56,0.43,0.89,1.44,1.55,1.44,1.04,1.18,1.41,1.11,1.07,1.91
e_0,0.35,0.88,0.69,0.84,0.67,0.57,1.57,1.14,1.22,1.58,1.26,1.37,1.0,1.83,3.25,1.56
g_0,0.66,0.72,0.77,1.1,0.6,0.45,1.33,0.88,1.2,1.18,1.98,1.36,1.13,1.66,1.31,1.1
