,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,1.08,0.84,0.91,0.84,0.7,0.65,0.81,0.55,0.68,0.6,0.57,0.62,0.59,0.44
f_1,0.89,1.0,1.25,1.0,0.86,0.77,0.62,0.76,0.61,0.7,0.61,0.61,0.53,0.56,0.46,0.58
e_1,0.92,0.81,1.0,1.18,1.05,0.85,0.71,0.94,0.66,0.76,0.64,0.67,0.68,0.62,0.58,0.65
c_1,1.21,0.98,0.83,1.0,1.24,0.82,0.73,0.51,0.62,0.65,0.54,0.62,0.6,0.56,0.61,0.56
b_1,1.09,1.14,0.93,0.84,1.0,1.39,0.8,0.66,0.73,0.69,0.71,0.64,0.65,0.53,0.6,0.58
a_1,1.18,1.3,1.2,1.17,0.72,1.0,0.82,0.69,0.76,0.81,0.9,0.79,0.76,0.74,0.66,0.68
h_1,1.41,1.62,1.41,1.38,1.27,1.19,1.0,0.85,0.88,1.06,0.85,0.92,0.82,0.68,0.8,0.94
d_0,1.52,1.33,1.09,1.96,1.56,1.39,1.19,1.0,0.85,1.11,0.99,1.04,0.96,0.86,0.89,1.04
c_0,1.25,1.62,1.52,1.58,1.32,1.24,1.18,1.14,1.0,1.06,1.26,0.95,0.98,1.03,0.85,0.85
g_1,1.81,1.43,1.31,1.51,1.45,1.2,0.96,0.9,0.95,1.0,0.97,1.14,0.77,0.74,0.88,0.81
b_0,1.5,1.67,1.46,1.82,1.48,1.13,1.17,1.02,0.81,1.07,1.0,0.95,1.03,1.14,0.96,0.86
f_0,1.7,1.68,1.48,1.61,1.59,1.3,1.07,0.98,1.04,0.91,1.03,1.0,1.0,0.91,1.28,0.78
h_0,1.78,1.89,1.52,1.6,1.54,1.31,1.19,1.05,1.03,1.29,1.01,1.05,1.0,0.95,0.91,1.1
a_0,1.61,1.85,1.66,1.8,1.9,1.31,1.39,1.07,0.99,1.39,0.91,1.07,1.03,1.0,0.99,0.99
e_0,1.7,2.1,1.76,1.71,1.68,1.44,1.19,1.18,1.17,1.08,1.1,0.82,1.08,1.01,1.0,1.01
g_0,2.23,1.7,1.58,1.78,1.72,1.56,1.12,1.0,1.22,1.23,1.13,1.28,0.92,1.0,1.0,1.0
