,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,0.85,0.83,1.02,0.86,0.95,0.2,0.16,0.27,0.18,0.17,0.22,0.1,0.17,0.14,0.17
e_1,0.61,0.42,1.01,1.12,0.97,0.88,0.29,0.21,0.31,0.21,0.2,0.28,0.13,0.18,0.13,0.24
d_1,1.05,1.09,0.41,0.9,0.85,0.71,0.23,0.19,0.17,0.28,0.19,0.18,0.13,0.15,0.09,0.16
c_1,1.04,0.74,1.16,0.4,0.94,0.9,0.3,0.25,0.29,0.12,0.22,0.19,0.13,0.18,0.13,0.18
b_1,1.36,1.12,1.05,0.62,0.37,0.96,0.34,0.33,0.3,0.22,0.34,0.22,0.17,0.2,0.17,0.2
a_1,1.36,1.47,1.47,1.26,0.68,0.31,0.37,0.29,0.39,0.32,0.34,0.28,0.2,0.42,0.23,0.26
h_1,1.86,1.74,1.65,1.68,1.49,1.47,0.29,0.33,0.45,0.38,0.38,0.3,0.31,0.33,0.25,0.32
c_0,2.27,2.09,1.24,2.66,1.95,1.7,0.57,0.3,0.46,0.58,0.41,0.37,0.29,0.37,0.28,0.34
g_1,2.12,1.93,2.07,2.54,1.59,1.58,0.43,0.37,0.26,0.39,0.4,0.36,0.21,0.41,0.3,0.4
d_0,1.89,1.28,2.75,2.08,2.15,2.08,0.62,0.42,0.67,0.3,0.4,0.44,0.33,0.38,0.3,0.43
b_0,2.08,2.11,1.83,2.86,2.62,1.85,0.57,0.26,0.57,0.45,0.27,0.4,0.29,0.45,0.3,0.39
f_0,3.4,2.2,2.04,2.1,1.75,1.76,0.65,0.42,0.43,0.43,0.44,0.27,0.3,0.49,0.21,0.38
h_0,2.53,2.43,2.49,2.45,2.22,1.94,0.84,0.48,0.79,0.54,0.46,0.52,0.45,0.46,0.36,0.43
a_0,2.76,2.55,2.39,2.95,2.65,2.5,0.86,0.45,0.59,0.53,0.28,0.45,0.41,0.28,0.35,0.52
g_0,2.63,2.58,2.6,2.6,2.69,2.12,0.58,0.54,0.97,0.55,0.52,0.59,0.31,0.54,0.44,0.48
e_0,3.76,3.77,2.37,2.75,2.67,2.28,0.77,0.51,0.63,0.51,0.58,0.29,0.43,0.61,0.32,0.26
