,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.06,1.36,2.17,2.22,1.97,1.78,0.87,0.78,0.71,0.63,0.6,0.66,0.6,0.5,0.62,0.51
f_1,2.38,1.06,1.94,2.11,1.71,1.64,0.57,0.9,0.64,0.62,0.6,0.78,0.5,0.34,0.46,0.41
d_1,2.34,2.4,1.05,2.01,2.06,1.91,0.81,0.57,0.96,0.74,0.71,0.59,0.59,0.48,0.59,0.32
c_1,1.86,2.37,2.69,1.06,2.69,1.94,0.89,0.75,0.44,0.77,0.63,0.59,0.61,0.47,0.52,0.46
b_1,2.68,3.02,2.58,1.5,1.06,2.44,1.03,1.0,0.76,0.82,1.1,0.89,0.55,0.65,0.7,0.64
a_1,3.44,3.85,3.45,3.61,1.95,1.07,1.52,1.62,1.03,1.09,1.24,0.77,1.82,0.86,0.9,0.95
h_1,5.44,6.26,5.17,5.35,5.17,4.21,1.32,2.15,1.6,1.63,1.64,1.63,1.32,1.65,1.23,1.32
g_1,6.38,7.11,6.26,6.54,5.57,4.53,1.78,1.31,2.1,1.84,1.89,1.91,1.81,1.45,1.51,1.4
d_0,4.16,6.67,7.93,8.39,6.91,6.32,2.64,2.31,1.49,1.79,1.97,1.59,1.71,1.54,1.85,1.5
c_0,7.18,6.88,3.99,11.07,8.16,5.63,2.77,2.7,2.83,1.44,2.34,1.89,1.93,1.8,1.86,1.31
b_0,6.72,7.13,5.62,8.89,9.23,5.14,2.62,2.56,2.25,1.22,1.42,1.89,2.16,1.76,1.82,1.54
f_0,8.3,12.34,7.47,8.74,7.18,7.7,3.07,2.13,2.9,2.28,2.2,1.49,2.02,2.23,2.38,1.22
a_0,8.11,10.03,9.02,8.65,11.94,7.95,3.34,2.91,2.56,2.14,1.63,2.18,1.61,2.21,2.58,2.15
h_0,8.37,11.26,8.83,9.49,7.7,6.51,4.51,3.1,2.62,2.32,2.52,2.14,2.11,2.56,2.3,2.07
e_0,14.58,13.59,9.18,9.76,9.91,7.62,3.93,3.58,3.03,2.72,3.1,1.46,2.22,1.9,1.61,1.87
g_0,12.35,12.43,11.11,12.34,9.85,8.09,3.22,5.75,3.39,3.2,3.43,3.21,2.46,2.0,2.56,2.84
