,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.73,0.98,1.07,0.79,0.76,0.56,0.44,0.55,0.46,0.42,0.37,0.4,0.36,0.3,0.28
f_1,1.38,1.0,0.85,1.05,0.79,0.73,0.36,0.49,0.43,0.37,0.41,0.37,0.31,0.27,0.25,0.28
d_1,1.02,1.18,1.0,0.83,0.87,0.72,0.53,0.36,0.5,0.58,0.48,0.36,0.37,0.35,0.38,0.28
c_1,0.93,0.95,1.2,1.0,1.44,0.69,0.56,0.48,0.34,0.38,0.36,0.34,0.39,0.3,0.32,0.31
b_1,1.27,1.26,1.15,0.7,1.0,1.06,0.58,0.62,0.47,0.39,0.45,0.49,0.31,0.48,0.36,0.42
a_1,1.31,1.37,1.39,1.44,0.94,1.0,0.77,0.75,0.56,0.62,0.65,0.45,0.89,0.55,0.4,0.54
h_1,1.78,2.79,1.91,1.82,1.75,1.27,1.0,1.0,0.88,0.86,0.83,0.84,0.66,0.78,0.66,0.75
g_1,2.27,2.06,2.69,2.18,1.58,1.31,0.98,1.0,0.99,0.85,0.87,1.15,0.83,0.84,0.68,0.68
d_0,1.77,2.4,2.16,3.12,2.1,1.79,1.1,1.03,1.0,0.94,0.91,0.75,0.86,0.95,0.7,0.71
c_0,2.22,2.68,1.64,2.66,2.68,1.7,1.14,1.17,1.16,1.0,1.31,0.92,0.8,0.96,0.8,0.69
b_0,2.47,2.51,2.08,2.75,2.49,1.39,1.22,1.15,1.07,0.73,1.0,0.98,1.27,0.95,0.82,0.64
f_0,2.57,2.73,2.57,2.9,2.13,2.31,1.19,0.84,1.37,1.13,0.94,1.0,0.89,1.15,1.21,0.64
a_0,2.71,3.25,2.64,2.35,3.25,,1.43,1.16,1.12,1.23,0.87,1.1,1.0,1.07,1.08,0.9
h_0,2.66,3.71,2.81,3.23,2.03,1.81,1.35,1.15,1.05,1.02,1.08,0.92,0.93,1.0,0.97,0.91
e_0,3.66,3.96,2.63,3.11,2.58,2.45,1.52,1.54,1.41,1.18,1.28,0.8,0.91,0.99,1.0,0.83
g_0,3.44,3.63,3.73,3.28,2.42,1.7,1.4,1.46,1.36,1.43,1.49,1.64,1.03,1.09,1.12,1.0
