,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.42,1.25,0.49,0.55,0.51,0.47,0.79,0.64,0.85,0.73,0.86,0.37,0.97,0.75,0.59,0.73
e_1,0.64,16.54,0.42,0.68,0.51,0.5,0.95,0.93,0.96,2.28,0.98,0.92,1.02,0.98,0.49,0.93
d_1,0.58,0.52,17.56,0.36,0.57,0.6,1.07,2.33,0.9,0.49,1.2,1.32,0.99,1.06,1.24,1.02
c_1,0.55,0.44,0.57,18.57,1.28,0.4,0.69,0.29,0.78,0.76,0.64,1.04,0.81,1.0,0.91,0.92
b_1,0.48,0.45,0.69,0.56,18.3,1.4,0.97,0.7,0.82,0.72,0.46,0.89,0.98,0.63,1.06,1.08
a_1,0.56,0.44,0.71,0.75,0.42,30.0,1.07,1.14,0.93,0.87,1.04,0.82,1.05,0.48,0.78,1.03
h_1,1.12,0.63,0.91,0.6,0.72,0.71,5.03,0.92,1.4,1.12,1.16,1.09,0.71,0.99,1.06,1.87
c_0,0.89,0.8,0.81,0.52,0.45,0.8,1.16,3.46,0.81,1.03,3.54,1.27,1.21,1.52,1.56,1.04
g_1,0.61,0.6,1.57,0.69,0.61,0.7,0.9,1.27,6.22,0.93,0.97,2.23,1.28,1.3,1.29,0.74
d_0,0.86,0.74,0.3,2.34,0.56,0.79,0.87,0.92,1.02,2.69,1.29,1.03,1.08,1.24,0.93,1.03
b_0,0.87,0.83,0.81,0.83,0.43,0.44,0.66,1.27,1.46,1.31,3.56,1.11,1.54,3.71,1.61,1.27
f_0,0.47,0.6,0.83,0.96,0.95,0.76,1.14,1.17,1.14,1.31,1.26,3.53,1.37,1.36,3.59,1.05
h_0,1.22,0.68,0.78,0.75,0.65,0.76,0.58,1.15,1.68,1.21,1.35,0.98,0.77,1.12,1.15,1.97
a_0,0.95,0.74,0.82,0.76,0.68,0.38,1.47,1.14,0.84,1.21,1.22,1.3,1.29,4.36,1.33,1.3
e_0,0.8,0.45,0.76,0.84,0.89,0.55,1.34,1.16,1.34,1.18,1.36,0.99,1.31,1.23,5.41,1.51
g_0,0.6,0.61,1.76,0.87,0.68,0.65,1.11,1.16,0.61,0.8,1.0,2.42,0.93,1.2,1.12,0.76
