,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.88,0.08,0.07,0.05,0.07,0.05,0.1,0.16,0.07,0.03,0.08,0.06,0.08,0.05,0.07,0.06
f_1,0.08,0.88,0.16,0.06,0.05,0.04,0.08,0.08,0.05,0.09,0.08,0.01,0.08,0.04,0.05,0.04
e_1,0.1,0.1,0.88,0.08,0.07,0.05,0.07,0.07,0.04,0.14,0.07,0.07,0.08,0.04,0.06,0.01
c_1,0.1,0.09,0.08,0.88,0.13,0.04,0.05,0.01,0.06,0.08,0.05,0.06,0.08,0.04,0.07,0.05
b_1,0.1,0.08,0.08,0.06,0.87,0.09,0.08,0.08,0.05,0.07,0.02,0.08,0.08,0.04,0.07,0.04
a_1,0.09,0.12,0.07,0.07,0.05,0.87,0.07,0.08,0.06,0.07,0.1,0.07,0.08,0.01,0.08,0.03
h_1,0.16,0.2,0.15,0.14,0.09,0.07,0.52,0.14,0.17,0.11,0.11,0.12,0.06,0.1,0.15,0.07
c_0,0.17,0.16,0.16,0.07,0.11,0.08,0.17,0.39,0.12,0.15,0.25,0.12,0.15,0.14,0.17,0.09
g_1,0.27,0.13,0.13,0.15,0.1,0.08,0.13,0.12,0.52,0.09,0.11,0.19,0.14,0.08,0.07,0.08
d_0,0.04,0.17,0.16,0.29,0.14,0.08,0.12,0.12,0.11,0.37,0.13,0.11,0.14,0.07,0.08,0.06
b_0,0.14,0.2,0.14,0.17,0.03,0.09,0.15,0.16,0.12,0.12,0.38,0.14,0.16,0.2,0.14,0.09
f_0,0.21,0.08,0.1,0.17,0.12,0.07,0.14,0.17,0.17,0.16,0.13,0.38,0.15,0.12,0.13,0.18
h_0,0.18,0.23,0.14,0.12,0.1,0.06,0.06,0.12,0.14,0.15,0.11,0.12,0.05,0.11,0.16,0.09
a_0,0.2,0.15,0.16,0.13,0.12,,0.19,0.16,0.11,0.15,0.13,0.13,0.19,0.36,0.16,0.11
g_0,0.26,0.13,0.12,0.13,0.1,0.07,0.12,0.12,0.08,0.12,0.11,0.2,0.13,0.09,0.05,0.09
e_0,0.17,0.21,0.05,0.13,0.13,0.09,0.16,0.16,0.16,0.17,0.14,0.12,0.14,0.13,0.1,0.35
