,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.48,0.28,0.19,0.15,0.13,0.14,0.18,0.2,0.21,0.21,,0.21,0.19,0.15,0.13,0.17
e_1,0.14,1.49,0.18,0.16,0.16,0.1,0.18,0.18,0.35,0.21,0.2,0.17,0.22,0.15,,0.16
d_1,0.15,0.16,1.5,0.18,0.14,0.11,0.21,0.19,,0.32,0.24,0.17,0.22,0.16,0.18,0.16
c_1,0.19,0.19,0.16,1.55,0.25,0.13,0.2,0.19,0.17,,0.26,0.18,0.21,0.18,0.14,0.18
b_1,0.21,0.19,0.18,0.13,1.61,0.22,0.21,0.18,0.28,0.17,0.17,,0.26,0.14,0.15,
a_1,0.2,0.18,0.16,0.16,0.14,1.76,0.28,0.18,0.13,0.2,0.21,0.21,0.31,,,0.23
h_1,0.57,0.37,0.36,0.39,0.34,0.27,1.64,0.55,0.49,0.43,0.49,0.4,,0.33,0.41,0.44
g_1,0.36,0.41,0.49,0.37,0.39,0.44,0.42,1.69,0.34,0.45,0.53,0.44,0.41,0.53,0.46,
d_0,0.41,0.38,,0.76,0.43,0.54,0.53,0.59,1.41,0.56,0.67,0.48,0.5,0.49,0.35,0.58
c_0,0.52,0.55,0.37,,0.41,0.35,0.55,0.38,0.51,1.45,0.49,1.03,0.46,0.65,0.52,0.45
f_0,,0.37,0.45,0.42,0.5,0.32,0.59,0.47,0.46,0.69,1.48,0.47,0.75,0.42,0.85,0.66
b_0,0.46,0.45,0.61,0.46,,0.31,0.55,0.54,0.67,0.39,0.48,1.52,0.65,,0.36,0.57
h_0,0.82,0.56,0.64,0.52,0.48,0.4,,0.88,0.91,0.76,0.6,0.62,,0.38,0.45,1.09
a_0,0.58,0.58,0.52,0.52,0.46,,0.48,0.45,0.63,0.46,0.51,,0.81,1.63,0.53,
e_0,0.64,,0.54,0.56,0.46,,0.73,0.43,0.71,0.54,0.46,0.57,0.82,0.45,1.62,
g_0,0.56,0.7,1.0,0.57,,0.5,0.8,,0.54,0.92,0.71,0.73,0.59,,,
