,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.51,0.88,0.82,1.1,0.81,0.64,1.06,0.92,1.67,1.03,1.04,1.05,1.11,0.9,1.11,0.77
f_1,1.33,1.52,0.83,0.86,0.74,0.69,0.86,0.96,1.07,0.89,1.03,0.69,1.01,0.84,0.86,0.67
d_1,0.95,1.02,1.57,0.81,0.74,0.73,1.15,0.89,0.91,1.63,1.17,1.07,1.19,0.89,1.0,0.89
c_1,0.82,0.91,0.89,1.57,1.42,0.66,1.02,0.99,0.93,0.75,0.71,0.97,1.07,0.87,0.91,0.83
b_1,0.93,1.08,0.98,0.71,1.63,1.27,1.02,0.97,0.91,1.15,0.82,1.0,1.2,0.79,1.01,0.84
a_1,1.06,1.02,1.1,0.95,0.8,1.79,1.26,1.0,1.24,1.26,1.11,1.19,1.43,0.78,1.21,1.05
h_1,1.12,1.49,1.11,1.12,1.07,0.73,1.82,1.51,1.3,1.1,1.3,1.13,1.26,1.2,1.55,0.99
g_1,1.09,1.11,1.59,1.09,0.98,0.92,1.27,1.9,1.09,1.15,1.26,1.71,1.32,1.11,1.22,1.24
d_0,0.99,1.16,0.92,1.78,1.26,0.82,1.31,1.23,1.71,1.09,1.22,1.22,1.71,1.13,1.4,1.18
c_0,1.27,1.41,1.0,1.14,0.87,0.97,1.39,1.35,1.57,1.75,2.21,1.26,1.58,1.25,1.45,1.33
b_0,1.27,1.32,1.19,1.5,0.86,0.66,1.5,1.46,1.47,1.16,1.82,1.39,1.42,2.03,1.42,1.24
f_0,1.12,1.14,1.24,1.28,1.1,0.93,1.51,1.27,1.4,1.43,1.38,1.86,1.73,1.36,1.5,1.96
h_0,1.3,1.64,1.25,1.17,1.1,0.89,1.17,1.63,1.18,1.33,1.42,1.25,1.25,1.16,1.91,1.11
a_0,1.24,1.37,1.36,1.44,1.09,0.76,1.5,1.38,1.54,1.44,1.33,1.5,1.8,1.9,1.49,1.14
g_0,1.26,1.42,1.67,1.25,1.02,1.01,1.28,1.26,1.21,1.37,1.52,1.8,1.42,1.38,1.38,1.26
e_0,1.02,1.47,1.35,1.34,1.27,1.04,1.66,1.44,1.46,1.48,1.44,1.23,1.79,1.45,1.49,1.86
