,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.94,0.3,0.33,0.21,0.21,0.14,0.23,0.15,0.31,0.08,0.2,0.17,0.16,0.15,0.13,0.14
e_1,0.24,0.94,0.26,0.28,0.24,0.21,0.2,0.17,0.19,0.31,0.17,0.18,0.18,0.16,0.07,0.15
f_1,0.28,0.46,0.94,0.29,0.24,0.16,0.16,0.17,0.18,0.15,0.18,0.09,0.16,0.11,0.11,0.11
c_1,0.35,0.31,0.28,0.94,0.4,0.19,0.23,0.15,0.07,0.16,0.14,0.18,0.16,0.09,0.08,0.18
b_1,0.35,0.29,0.33,0.22,0.94,0.37,0.23,0.18,0.2,0.17,0.12,0.17,0.12,0.1,0.17,0.17
a_1,0.38,0.35,0.38,0.3,0.18,0.93,0.22,0.23,0.2,0.24,0.21,0.23,0.27,0.1,0.17,0.17
h_1,0.53,0.46,0.72,0.46,0.44,0.36,0.73,0.4,0.36,0.35,0.31,0.3,0.15,0.2,0.28,0.34
g_1,0.87,0.53,0.38,0.63,0.47,0.34,0.31,0.73,0.34,0.25,0.34,0.4,0.31,0.32,0.29,0.2
c_0,0.57,0.65,0.62,0.45,0.45,0.38,0.37,0.36,0.61,0.4,0.55,0.34,0.38,0.3,0.28,0.32
d_0,0.3,0.48,0.69,0.92,0.52,0.33,0.41,0.4,0.33,0.61,0.32,0.37,0.35,0.26,0.29,0.3
b_0,0.7,0.67,0.68,0.5,0.22,0.33,0.42,0.33,0.37,0.38,0.63,0.32,0.39,0.53,0.27,0.39
f_0,0.7,0.49,0.35,0.58,0.53,0.46,0.5,0.4,0.44,0.36,0.37,0.61,0.43,0.29,0.52,0.27
h_0,0.79,0.6,0.86,0.62,0.66,0.23,0.24,0.43,0.4,0.37,0.3,0.29,0.21,0.32,0.23,0.39
a_0,0.71,0.58,0.79,0.73,0.55,0.23,0.56,0.35,0.52,0.44,0.33,0.41,0.4,0.59,0.31,0.33
e_0,0.81,0.35,0.75,0.78,0.48,0.42,0.51,0.35,0.45,0.43,0.41,0.3,0.45,0.32,0.62,0.37
g_0,1.06,0.57,0.71,0.56,0.48,0.41,0.43,0.26,0.43,0.37,0.31,0.56,0.34,0.3,0.27,0.22
