,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.29,0.62,0.51,0.65,0.5,0.45,1.05,0.8,2.24,1.03,1.16,1.21,1.61,1.03,0.51,1.23
f_1,1.01,2.29,0.53,0.54,0.48,0.31,0.82,0.81,1.02,1.07,1.18,0.51,1.37,0.96,0.72,1.28
d_1,0.57,0.7,2.42,0.39,0.47,0.46,1.27,1.06,0.63,2.11,1.25,1.06,1.51,0.96,0.92,1.31
c_1,0.53,0.52,0.55,2.47,1.03,0.41,0.85,0.81,1.16,0.52,0.74,0.95,1.34,0.82,0.98,1.19
b_1,0.55,0.58,0.54,0.59,2.56,0.84,1.03,0.97,1.06,1.11,0.37,0.97,1.44,0.75,0.95,1.13
a_1,0.52,0.62,0.62,0.56,0.5,3.05,1.15,1.06,1.14,1.29,1.18,1.48,1.4,0.45,0.99,1.18
h_1,0.64,1.02,0.73,0.73,0.56,0.49,3.09,1.52,1.2,1.41,1.3,1.18,1.1,0.94,1.2,2.14
g_1,0.63,0.59,1.16,0.67,0.58,0.59,1.0,3.38,0.99,1.5,1.55,2.0,1.49,0.95,1.1,0.97
d_0,0.65,0.75,0.45,1.31,0.67,0.5,1.17,0.91,2.75,1.12,1.34,1.43,1.78,1.08,1.26,1.49
c_0,0.82,0.76,0.76,0.55,0.4,0.49,1.56,1.27,1.54,2.8,2.97,1.69,1.74,1.4,1.19,1.66
b_0,0.74,0.87,0.71,0.78,0.38,0.36,1.23,1.21,1.52,1.38,3.07,1.44,2.13,2.65,1.21,1.75
f_0,0.63,0.37,0.78,0.85,0.66,0.53,1.39,1.27,1.44,1.41,1.69,3.05,1.86,0.97,2.54,1.71
h_0,0.71,1.1,0.74,0.64,0.57,0.61,0.83,1.51,1.33,1.36,1.16,1.41,1.29,1.07,1.02,1.97
a_0,0.73,0.8,0.81,0.95,0.56,0.24,1.47,1.13,1.41,1.59,1.24,0.95,1.93,3.31,1.02,1.53
e_0,0.38,0.66,0.94,0.79,0.8,0.49,1.75,1.72,1.33,1.47,1.34,1.46,1.94,1.27,3.32,1.87
g_0,0.7,0.72,1.27,0.51,0.68,0.48,1.23,0.87,1.13,1.44,1.27,1.87,1.72,1.11,1.15,1.1
