,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,6.17,2.87,2.48,3.49,2.89,2.77,10.64,20.58,9.7,10.92,14.07,14.71,20.44,11.48,14.93,18.69
f_1,4.66,6.45,2.5,2.69,2.26,2.25,10.01,14.19,9.87,13.32,10.22,13.61,20.53,9.92,15.63,19.66
d_1,2.64,3.24,6.77,2.08,2.84,2.65,10.72,9.06,10.29,22.98,12.66,16.37,20.13,16.01,16.49,22.14
c_1,2.45,2.65,2.53,6.74,5.08,3.24,10.72,11.83,8.68,7.69,13.75,8.89,19.07,13.1,11.42,20.45
b_1,2.57,2.82,2.9,2.81,7.62,5.93,9.81,11.47,10.6,11.16,12.29,9.34,20.32,14.06,11.03,19.39
a_1,2.88,3.12,2.74,3.1,2.92,10.58,10.39,14.14,10.13,11.19,14.57,12.4,22.72,16.39,11.75,18.98
h_1,2.85,4.0,3.3,2.98,2.94,2.5,18.42,11.61,15.33,12.91,14.74,13.96,16.89,15.46,17.58,26.62
d_0,2.7,2.71,2.36,4.92,3.6,2.96,11.76,19.07,10.9,9.13,13.95,13.42,20.86,15.54,17.7,21.74
g_1,2.74,2.63,4.35,2.98,3.1,3.22,10.21,10.11,21.3,14.16,21.02,12.71,19.12,18.38,15.81,17.46
c_0,3.16,3.3,3.31,2.49,2.25,3.07,12.23,15.25,12.09,20.75,16.58,27.98,22.75,16.03,25.68,25.2
f_0,2.47,2.43,3.25,3.51,3.53,3.51,12.24,13.61,14.02,14.3,22.25,15.78,22.24,30.71,17.58,23.06
b_0,3.09,3.3,3.04,3.38,2.42,1.88,13.07,15.13,12.77,12.73,14.94,24.11,22.69,17.46,34.13,23.71
h_0,2.61,3.76,3.35,2.91,3.17,3.37,9.5,14.14,14.98,13.2,14.8,13.66,18.39,15.96,15.19,25.56
e_0,2.21,3.27,3.3,3.3,3.01,3.05,13.04,13.26,14.79,14.6,14.37,15.22,26.6,31.41,22.08,24.97
a_0,3.22,3.01,3.4,3.05,3.1,2.56,13.22,14.34,13.28,14.91,14.81,15.1,19.66,14.37,30.02,22.33
g_0,2.4,2.77,4.49,2.59,3.21,3.16,11.07,11.1,10.86,15.61,20.9,14.18,20.2,17.76,17.9,20.58
