,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.66,0.92,1.26,1.34,1.23,1.32,0.58,0.63,0.61,0.5,0.54,0.59,0.49,0.45,0.4,0.83
f_1,1.36,0.66,1.22,1.23,1.16,1.24,0.49,0.77,0.5,0.43,0.45,0.61,0.45,0.28,0.44,0.33
d_1,1.54,1.31,0.65,1.31,1.26,1.19,0.64,0.43,0.63,0.51,0.52,0.42,0.4,0.37,0.29,0.39
c_1,1.24,1.34,1.55,0.64,1.55,0.95,0.61,0.52,0.32,0.63,0.45,0.42,0.48,0.41,0.44,0.42
b_1,1.57,1.72,1.44,0.89,0.62,1.64,0.62,0.64,0.54,0.63,0.83,0.6,0.53,0.43,0.38,0.41
a_1,1.83,1.64,1.64,2.25,0.98,0.56,1.08,0.71,0.69,0.58,0.61,0.61,0.9,0.52,0.51,0.61
h_1,2.01,1.96,1.92,1.99,2.17,1.39,0.57,0.95,0.78,0.8,0.76,0.64,0.68,0.77,0.63,0.64
g_1,1.94,2.19,2.08,2.33,2.13,1.89,0.78,0.56,0.77,0.8,0.69,0.72,0.69,0.51,0.6,0.73
d_0,1.32,2.26,3.01,2.55,2.29,1.86,1.04,1.16,0.61,0.76,0.82,0.81,0.79,0.75,0.63,0.77
c_0,1.97,2.72,1.4,3.35,2.27,2.05,0.94,0.96,1.09,0.6,0.98,0.84,0.82,0.73,0.56,0.73
b_0,2.18,2.22,1.87,3.03,3.16,1.93,1.0,1.12,0.86,0.53,0.58,0.82,0.9,0.77,0.71,0.78
f_0,2.02,3.38,2.36,2.47,2.31,2.0,1.11,0.72,0.82,0.77,0.79,0.57,0.8,0.78,0.44,0.89
a_0,2.52,2.54,2.52,2.49,2.55,2.92,1.14,1.27,1.07,0.81,0.61,0.87,0.57,0.66,0.68,0.91
h_0,2.22,3.1,2.5,2.44,2.52,1.98,1.23,1.34,0.95,0.87,0.88,0.82,0.96,1.03,0.74,0.8
g_0,2.64,2.54,3.17,2.64,2.94,2.44,1.05,1.56,1.09,1.03,0.9,1.17,0.89,0.68,0.94,0.89
e_0,2.69,4.26,3.01,2.95,2.65,2.15,1.24,1.07,0.92,1.07,1.01,0.57,0.87,0.79,0.7,0.57
