,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.52,0.66,0.72,0.91,0.69,0.47,0.83,1.55,0.88,0.88,0.82,0.91,0.94,1.12,0.55,0.81
d_1,0.69,1.55,0.77,0.65,0.68,0.58,0.83,0.67,1.4,0.72,1.02,0.88,0.98,0.75,0.94,0.79
f_1,1.12,0.68,1.54,0.82,0.57,0.66,0.72,0.78,0.79,0.72,0.75,0.47,0.94,0.83,0.6,0.7
c_1,0.68,0.71,0.74,1.54,1.26,0.52,0.93,0.67,0.56,0.75,0.65,0.86,0.88,0.78,0.69,0.62
b_1,0.78,0.82,0.89,0.56,1.6,1.16,0.83,0.85,0.82,0.81,0.56,0.77,0.97,0.88,0.63,0.59
a_1,0.97,0.84,0.86,0.86,0.46,1.75,1.05,1.03,0.96,0.97,1.07,1.04,0.97,0.98,0.73,0.59
h_1,1.0,1.03,1.25,0.98,0.9,0.74,1.77,1.06,1.06,1.21,1.06,1.05,0.99,1.29,0.92,0.98
d_0,0.82,0.64,1.13,1.75,1.02,0.76,1.31,1.65,0.82,1.09,1.19,1.01,1.22,1.08,0.9,1.05
c_0,1.04,0.99,1.09,0.91,0.88,0.81,1.14,1.37,1.65,0.97,1.92,1.28,1.25,1.27,1.14,1.1
g_1,0.82,1.49,0.9,1.09,0.96,0.66,1.11,1.12,1.23,1.85,1.27,1.64,1.0,1.0,1.09,0.92
b_0,1.04,1.09,1.21,1.17,0.8,0.71,1.39,1.14,1.12,0.97,1.75,1.21,1.42,1.35,0.94,1.73
f_0,0.97,1.22,0.74,1.1,1.04,0.81,1.33,1.38,1.28,0.95,1.27,1.71,1.37,1.35,1.69,1.05
h_0,1.15,1.1,1.32,1.06,0.84,0.8,1.02,1.34,1.19,1.48,1.13,1.22,1.02,1.54,0.89,0.84
g_0,0.9,1.65,0.98,1.22,0.97,0.84,1.3,1.19,1.27,1.07,1.11,1.67,1.21,1.0,1.04,1.0
e_0,0.75,1.15,1.19,1.19,1.07,0.98,1.48,1.27,1.43,1.06,1.5,1.2,1.73,1.48,1.84,1.08
a_0,1.03,1.15,1.08,1.29,1.14,0.76,1.33,1.36,1.32,1.3,1.22,1.32,1.69,1.36,1.15,1.75
