,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.54,0.9,0.96,0.78,0.63,0.43,0.4,0.62,0.36,,0.38,0.27,0.3,0.27,0.36
e_1,0.65,1.0,0.78,1.19,1.18,0.76,0.45,0.56,0.44,0.45,0.41,0.38,0.26,0.37,,0.32
d_1,1.11,1.28,1.0,1.08,0.83,0.76,0.42,,0.31,0.84,0.38,0.37,0.31,0.3,0.36,0.26
c_1,1.04,0.84,0.92,1.0,1.44,0.73,0.59,0.39,0.42,,0.37,0.37,0.43,0.33,0.38,0.38
b_1,1.29,0.85,1.2,0.69,1.0,1.16,0.5,0.56,0.5,0.46,0.56,,0.37,0.35,0.38,0.35
a_1,1.58,1.32,1.32,1.37,0.86,1.0,0.79,0.7,0.52,0.7,0.49,0.73,,0.39,0.42,0.43
h_1,2.35,2.22,2.35,1.68,1.98,1.26,1.0,0.82,0.94,0.78,0.62,0.7,0.62,,0.55,0.76
d_0,2.5,1.78,,2.59,1.79,1.43,1.21,1.0,0.95,1.24,0.93,0.75,0.81,0.81,0.84,0.72
g_1,1.62,2.27,3.22,2.38,2.0,1.92,1.07,1.05,1.0,0.82,0.88,1.28,0.72,0.74,0.71,
c_0,2.8,2.21,1.18,,2.19,1.43,1.28,0.81,1.23,1.0,1.03,1.31,0.99,0.9,0.66,0.84
f_0,,2.46,2.64,2.68,1.79,2.05,1.6,1.08,1.13,0.97,1.0,1.13,0.74,0.9,0.91,0.56
b_0,2.64,2.61,2.7,2.73,,1.37,1.43,1.34,0.78,0.76,0.88,1.0,1.48,0.78,0.8,0.69
a_0,3.72,3.77,3.26,2.35,2.71,,1.61,1.24,1.4,1.01,1.35,0.68,1.0,,,0.89
h_0,3.32,2.68,3.33,3.03,2.82,2.57,,1.24,1.36,1.11,1.11,1.28,,,1.07,0.92
e_0,3.66,,2.8,2.64,2.63,2.4,1.82,1.18,1.42,1.51,1.1,1.24,,0.93,1.0,
g_0,2.8,3.17,3.87,2.65,2.88,2.3,1.31,1.39,,1.19,1.79,1.45,1.13,1.09,,
