,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.94,0.25,0.27,0.33,0.22,0.19,0.22,0.17,0.28,0.2,0.18,0.13,0.16,0.17,0.06,0.1
f_1,0.48,0.94,0.24,0.29,0.23,0.18,0.16,0.16,0.18,0.16,0.17,0.07,0.12,0.14,0.09,0.12
d_1,0.28,0.34,0.94,0.23,0.23,0.17,0.21,0.15,0.12,0.29,0.2,0.15,0.14,0.16,0.14,0.15
c_1,0.28,0.26,0.33,0.94,0.46,0.16,0.21,0.18,0.17,0.08,0.13,0.13,0.15,0.13,0.12,0.13
b_1,0.35,0.36,0.31,0.22,0.93,0.31,0.2,0.23,0.19,0.13,0.08,0.16,0.11,0.21,0.12,0.16
a_1,0.33,0.34,0.32,0.33,0.27,0.93,0.24,0.23,0.2,0.23,0.23,0.17,0.14,0.23,0.14,0.17
h_1,0.48,0.83,0.55,0.47,0.42,0.29,0.73,0.39,0.34,0.32,0.31,0.3,0.24,0.18,0.25,0.3
g_1,0.6,0.46,0.8,0.58,0.4,0.28,0.38,0.72,0.35,0.3,0.31,0.45,0.28,0.34,0.23,0.16
d_0,0.55,0.61,0.38,0.91,0.5,0.38,0.37,0.33,0.61,0.34,0.34,0.3,0.3,0.37,0.25,0.26
c_0,0.59,0.69,0.52,0.41,0.53,0.39,0.38,0.36,0.42,0.62,0.6,0.38,0.3,0.4,0.28,0.27
b_0,0.67,0.66,0.55,0.62,0.36,0.3,0.41,0.37,0.42,0.33,0.63,0.38,0.55,0.39,0.28,0.24
f_0,0.58,0.34,0.67,0.68,0.46,0.55,0.37,0.28,0.53,0.45,0.34,0.62,0.32,0.43,0.49,0.26
a_0,0.67,0.78,0.61,0.53,0.69,,0.43,0.34,0.38,0.46,0.36,0.4,0.58,0.41,0.34,0.32
h_0,0.63,0.93,0.66,0.71,0.43,0.38,0.23,0.33,0.34,0.35,0.36,0.3,0.3,0.19,0.3,0.34
e_0,0.54,0.83,0.63,0.74,0.54,0.53,0.5,0.43,0.46,0.4,0.42,0.33,0.28,0.37,0.59,0.28
g_0,0.65,0.83,1.0,0.68,0.46,0.28,0.41,0.25,0.41,0.46,0.44,0.54,0.31,0.41,0.32,0.2
