,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.63,2.72,3.03,3.27,2.45,0.66,0.66,0.96,0.61,0.61,0.82,0.3,0.63,0.49,0.46
d_1,3.54,1.1,3.41,3.14,2.75,2.81,0.92,0.98,0.59,0.73,0.65,0.63,0.46,0.6,0.65,0.31
e_1,1.83,3.35,1.11,3.67,3.39,3.13,0.93,0.78,1.05,0.62,0.7,0.94,0.49,0.66,1.14,0.58
c_1,3.5,4.71,2.6,1.11,3.79,3.82,0.87,0.38,0.89,0.99,0.63,0.65,0.48,0.63,0.66,0.46
b_1,4.2,3.84,4.25,2.25,1.11,3.07,1.41,0.91,1.18,1.1,1.34,0.76,0.61,0.84,0.84,0.61
a_1,7.43,5.38,5.75,4.96,2.65,1.13,1.62,1.21,1.81,1.07,1.26,0.99,0.95,1.51,1.03,0.69
h_1,11.24,10.9,11.57,13.46,11.39,9.63,1.6,2.55,3.04,2.24,2.27,2.15,2.32,1.95,2.02,1.75
d_0,13.72,21.72,8.25,15.42,16.89,14.31,4.58,2.06,4.41,2.72,2.88,2.94,2.09,2.55,2.84,2.01
g_1,15.33,12.62,14.45,15.42,14.85,13.04,2.99,3.39,1.68,3.3,3.03,2.71,1.57,3.04,2.44,3.04
c_0,17.04,8.56,15.57,25.71,16.4,13.83,5.05,5.05,4.43,1.94,3.55,2.81,2.35,2.88,2.86,2.07
b_0,16.28,14.54,14.45,20.4,32.61,15.04,4.58,3.07,4.24,1.8,1.99,3.08,2.38,3.11,3.42,2.31
f_0,28.62,17.6,17.84,20.14,17.84,17.17,4.88,3.63,3.9,3.6,3.8,2.09,3.01,3.28,3.75,1.63
h_0,21.55,20.67,21.27,21.96,21.82,20.0,8.34,4.67,6.61,4.28,4.01,4.3,3.95,3.45,3.29,3.54
a_0,28.18,22.14,23.14,24.14,38.34,34.92,7.72,5.5,6.07,4.55,2.58,4.45,3.77,2.33,3.97,3.09
e_0,44.68,23.67,29.78,28.75,29.55,23.41,7.32,5.37,6.42,4.94,4.45,2.64,3.56,5.67,2.27,2.83
g_0,33.93,27.68,27.18,26.35,26.76,29.43,6.04,5.88,8.75,5.22,5.45,5.12,2.99,4.69,5.29,5.67
