,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,35.1,0.12,0.07,0.06,0.05,0.07,0.34,0.16,0.38,0.52,0.44,,0.59,0.23,0.39,0.6
e_1,0.06,36.47,0.06,0.08,0.08,0.05,0.27,0.27,0.31,0.79,0.32,0.42,0.49,0.37,,0.39
d_1,0.06,0.06,39.62,0.05,0.08,0.05,0.28,0.39,0.72,,0.27,0.44,0.62,0.5,0.44,0.62
c_1,0.06,0.07,0.08,43.26,0.12,0.05,0.38,0.23,,0.36,0.4,0.38,0.57,0.39,0.4,0.56
b_1,0.07,0.06,0.07,0.08,48.55,0.14,0.29,0.39,0.33,0.38,,0.37,0.39,0.35,0.36,0.56
a_1,0.07,0.05,0.07,0.1,0.05,74.41,0.29,0.26,0.41,0.41,0.34,0.41,0.79,,,
h_1,0.34,0.27,0.25,0.25,0.22,0.35,27.57,1.35,1.37,1.69,1.18,1.22,,1.34,1.69,3.62
g_1,0.22,0.17,0.4,0.24,0.32,0.29,1.13,35.25,0.71,1.11,1.44,2.69,3.41,0.98,1.23,
c_0,0.4,0.45,0.38,,0.25,0.29,1.28,1.17,19.29,1.65,4.25,1.88,2.67,1.83,1.36,3.58
d_0,0.4,0.3,,0.65,0.37,0.44,1.09,1.69,1.53,16.7,2.53,1.73,4.55,1.83,2.06,3.16
b_0,0.34,0.27,0.32,0.28,,0.39,1.86,1.44,2.13,1.79,20.23,1.44,3.54,4.82,2.18,2.94
f_0,,0.33,0.31,0.32,0.46,0.44,1.88,1.35,2.51,1.89,2.12,24.8,2.68,,1.89,3.71
h_0,0.89,0.54,0.53,0.6,0.34,,,2.98,3.33,3.33,2.82,2.21,,2.82,5.98,5.17
a_0,0.34,0.38,0.35,0.45,0.41,,1.73,0.98,2.33,1.84,1.74,1.74,3.61,26.9,2.41,
e_0,0.41,,0.28,0.32,0.36,,1.62,1.95,2.22,2.34,2.35,2.36,2.79,2.42,34.54,
g_0,0.34,0.61,1.21,0.45,0.72,0.64,1.97,,2.98,1.84,1.76,4.57,4.11,3.45,,
