,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,11.92,1.49,0.56,0.64,0.56,0.51,0.82,0.83,0.87,0.82,0.51,0.97,0.93,0.97,0.69,0.85
e_1,0.67,12.14,0.51,0.88,0.73,0.62,0.83,0.89,2.28,0.88,1.06,1.0,1.03,1.01,0.63,1.04
d_1,0.68,0.58,15.29,0.5,0.54,0.54,0.87,0.94,0.58,2.63,1.15,1.35,1.16,1.21,1.12,1.03
c_1,0.6,0.57,0.65,14.73,1.63,0.57,0.87,0.89,0.75,0.36,0.96,0.58,0.74,0.85,1.07,0.8
b_1,0.69,0.57,0.64,0.59,15.27,1.94,1.05,0.88,0.92,0.7,0.81,0.48,0.96,0.65,0.99,0.9
a_1,0.74,0.63,0.81,0.57,0.58,25.2,1.21,1.09,0.66,0.99,1.11,1.18,1.19,0.41,0.91,1.02
h_1,1.27,0.65,0.88,0.79,0.65,0.82,3.83,1.36,1.01,0.72,0.97,0.84,0.63,0.89,0.98,1.64
g_1,0.68,0.6,1.54,0.87,0.59,0.65,0.99,3.97,0.78,1.03,1.68,0.87,0.94,1.23,1.15,0.71
d_0,0.67,0.68,0.35,2.54,0.87,0.91,0.97,1.09,2.42,0.58,1.16,0.8,0.98,1.08,0.97,0.95
c_0,0.91,0.71,1.08,0.57,0.47,0.64,1.23,1.08,0.96,2.78,1.02,3.8,1.12,1.58,1.2,1.35
f_0,0.5,0.52,0.97,0.87,0.87,0.73,1.35,1.07,1.05,1.26,3.06,0.97,1.14,0.84,3.39,1.48
b_0,0.91,0.54,1.1,1.05,0.41,0.48,1.03,0.97,1.2,1.05,1.16,3.19,1.48,3.22,1.3,1.5
h_0,1.27,0.74,0.82,0.69,0.57,0.69,0.7,1.68,1.0,0.97,1.09,1.27,0.78,1.27,1.06,1.55
a_0,0.76,0.62,1.09,0.87,0.86,0.38,1.38,1.06,0.9,0.99,1.03,0.98,1.31,3.37,1.4,1.41
e_0,0.84,0.4,0.9,0.85,0.75,0.96,1.41,1.05,1.21,1.07,1.24,1.3,1.56,1.13,3.27,0.99
g_0,0.65,0.56,1.5,0.77,0.7,0.72,0.94,0.78,0.75,1.52,2.31,1.2,1.18,1.29,1.53,0.88
