,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.82,0.97,1.45,1.49,2.8,19.61,26.71,42.3,33.05,42.57,43.14,69.14,86.86,102.99,105.16
f_1,1.26,1.0,0.97,0.99,1.3,2.32,15.64,25.43,28.67,29.61,31.45,38.37,55.74,63.17,84.9,81.96
d_1,1.01,1.06,1.0,0.88,1.13,2.59,17.37,18.67,31.54,36.09,30.74,40.33,59.42,76.45,76.04,87.17
c_1,0.69,1.02,1.15,1.0,1.57,2.92,16.79,21.18,19.49,22.22,29.69,30.98,61.61,70.33,80.09,80.71
b_1,0.68,0.77,0.87,0.63,1.0,3.0,14.08,19.37,22.17,26.9,23.74,27.3,57.23,62.82,72.65,65.59
a_1,0.35,0.41,0.39,0.35,0.34,1.0,7.05,8.97,10.23,12.19,12.5,14.83,23.9,26.79,34.28,32.39
h_1,0.05,0.06,0.06,0.06,0.07,0.14,1.0,1.49,1.5,1.69,1.77,2.2,3.54,3.59,5.49,4.55
g_1,0.04,0.04,0.05,0.05,0.05,0.11,0.65,1.0,1.06,1.26,1.87,1.71,2.43,3.26,4.03,3.46
d_0,0.02,0.03,0.03,0.05,0.05,0.09,0.65,0.88,1.0,0.84,1.21,1.23,2.09,2.78,3.28,2.98
c_0,0.03,0.03,0.03,0.04,0.04,0.08,0.6,0.81,1.15,1.0,1.25,1.74,2.36,2.6,2.8,3.21
f_0,0.02,0.03,0.03,0.03,0.04,0.08,0.54,0.53,0.81,0.84,1.0,1.14,1.8,3.41,2.18,2.72
b_0,0.02,0.03,0.02,0.03,0.04,0.06,0.46,0.6,0.79,0.56,0.97,1.0,1.86,1.98,2.39,3.06
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.28,0.42,0.43,0.41,0.56,0.53,1.0,1.19,1.64,1.27
e_0,0.01,0.02,0.01,0.01,0.02,0.04,0.27,0.29,0.39,0.38,0.29,0.47,0.89,1.0,1.07,0.97
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.25,0.3,0.34,0.45,0.44,0.61,0.98,1.0,0.95
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.29,0.3,0.32,0.35,0.33,0.78,0.95,1.0,1.0
