,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.68,6.04,5.2,5.38,5.89,6.16,2.07,3.04,2.14,1.73,2.01,,1.99,1.31,1.49,1.73
e_1,4.07,0.67,6.28,6.05,5.62,5.25,2.4,2.51,1.96,2.51,2.5,2.18,1.67,1.68,,1.55
d_1,7.01,5.57,0.66,9.44,4.93,5.02,2.69,1.82,2.5,,1.91,1.82,1.68,1.46,2.31,1.12
c_1,5.79,5.93,4.16,0.64,7.66,5.36,2.63,3.77,,1.23,2.64,2.4,2.02,1.95,1.91,2.02
b_1,6.25,6.77,7.7,3.6,0.63,6.0,2.99,3.39,2.57,2.35,,1.91,2.58,1.55,2.34,1.71
a_1,7.18,9.83,6.87,7.29,5.17,0.57,3.03,2.81,2.3,2.77,,,,2.55,,2.27
h_1,4.85,5.97,4.93,4.45,3.46,4.42,0.62,2.25,1.89,1.85,1.59,1.99,1.81,,1.71,1.47
g_1,5.42,4.89,5.59,5.02,4.85,5.64,2.21,0.58,2.47,2.21,1.91,2.22,1.72,1.28,2.21,
c_0,5.17,4.4,3.55,,4.94,5.0,2.2,1.78,0.69,1.78,2.07,1.85,2.12,1.41,1.41,1.29
d_0,4.96,3.35,,7.73,4.8,3.95,2.19,2.12,1.81,0.7,1.51,1.45,1.68,1.4,2.02,1.38
b_0,4.79,4.51,5.76,4.68,,,2.38,2.72,1.08,1.98,0.67,1.41,2.3,2.11,2.03,2.06
f_0,,5.1,6.51,4.95,4.86,,2.68,1.81,1.89,2.06,2.59,0.66,1.61,1.35,1.91,0.82
a_0,5.81,5.91,6.53,6.56,6.74,,2.15,2.63,2.1,1.9,1.27,2.47,0.63,1.88,,1.52
h_0,4.73,5.11,4.7,4.03,5.17,4.01,,1.87,1.77,1.78,1.31,2.07,1.19,,1.16,1.78
e_0,7.94,,6.03,5.58,6.07,,2.65,1.77,2.59,2.89,2.2,1.29,,1.82,0.6,1.73
g_0,6.14,8.67,5.12,4.16,6.24,4.15,1.79,,1.96,1.7,1.46,2.12,2.32,1.0,1.83,
